"protocolo","ano","tipo_pdi","status_pdi","aprov_pdi","status_rdi","aprov_rdi","ciclo_anos","pendente_anos","campo","bacia","operador","classe","objeto"
"48610.220045/2022-61","2022","","Aprovado","2025-01-28","","","","1.5","MARLIM LESTE","CAMPOS","PETROBRAS","INSTALACAO MAR","FPSO CIDADE DE NITEROI"
"48610.220250/2019-21","2019","","","","Aprovado","2022-04-11","","","XERELETE | XERELETE SUL","CAMPOS","TOTAL","CAMPO MAR","XERELETE | XERELETE SUL"
"48610.220295/2022-09","2022","","Aprovado","2022-10-18","","","","3.8","MARLIM","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 37"
"48610.220318/2024-39","2024","","Aprovado","2026-02-26","","","","0.5","CHERNE","CAMPOS","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE CHERNE 1 | PLATAFORMA DE CHERNE 2"
"48610.220381/2025-56","2025","","Recebido","","","","","","RIACHO SESMARIA","RECÔNCAVO","PETROIL","CAMPO TERRA","RIACHO SESMARIA"
"48610.221217/2019-18","2019","","Aprovado","2019-07-15","","","","7.1","JAPIIM","AMAZONAS","PETROBRAS","CAMPO TERRA","JAPIIM"
"48610.221229/2021-67","2021","","Encerrado","","","","","","MARLIM","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 33"
"48610.221384/2019-69","2019","","","","Aprovado","2021-11-04","","","SUL DE SAPINHOÁ","SANTOS","PETROBRAS","CAMPO MAR","SUL DE SAPINHOÁ"
"48610.221424/2024-30","2024","","Aprovado","2025-03-11","","","","1.4","MARLIM","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 18"
"48610.222226/2023-11","2023","","Aprovado","2025-11-07","","","","0.8","BIQUARA","POTIGUAR","PETROBRAS","INSTALACAO MAR","PLATAFORMA BIQUARA 1"
"48610.223576/2025-58","2025","","Recebido","","","","","","GAROUPA","CAMPOS","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE GAROUPA"
"48610.223757/2019-36","2019","","","","Aprovado","2021-01-27","","","LAGOA PACAS","ALAGOAS","PETROSYNERGY","CAMPO TERRA","LAGOA PACAS"
"48610.223897/2021-29","2021","","Recebido","","","","","","TICO-TICO","RECÔNCAVO","NOVA PETRÓLEO","CAMPO TERRA","TICO-TICO"
"48610.224254/2024-45","2024","","Aprovado","2025-09-03","","","","0.9","MARLIM","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 47"
"48610.224774/2021-13","2021","","Aprovado","2022-02-04","","","","4.5","DIAS DAVILA","RECÔNCAVO","PETROBRAS","CAMPO TERRA","DIAS DAVILA"
"48610.224780/2021-62","2021","","Aprovado","2022-04-20","","","","4.3","FAZENDA GAMELEIRA","RECÔNCAVO","PETROBRAS","CAMPO TERRA","FAZENDA GAMELEIRA"
"48610.224965/2022-58","2022","","","","Aprovado","2023-05-05","","","","SANTOS","SHELL","BLOCO MAR","SATURNO"
"48610.225256/2023-71","2023","Parcial","Aprovado","2024-04-02","","","","2.4","ÁGUA GRANDE","RECÔNCAVO","3R PETROLEUM","CAMPO TERRA","ÁGUA GRANDE"
"48610.225700/2024-39","2024","","Aprovado","2025-05-26","","","","1.2","MERLUZA","SANTOS","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE MERLUZA"
"48610.225711/2024-19","2024","","Aprovado","2026-02-26","","","","0.5","ALBACORA","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 25"
"48610.226710/2025-72","2025","","Recebido","","","","","","CURIMÃ","CEARÁ","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE CURIMÃ 1 | PLATAFORMA DE CURIMÃ 2"
"48610.227160/2021-85","2021","","Aprovado","2022-05-06","","","","4.3","MARLIM","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 26"
"48610.228128/2024-60","2024","","Aprovado","2026-03-11","","","","0.4","TUPI","SANTOS","PETROBRAS","INSTALACAO MAR","FPSO CIDADE DE ANGRA DOS REIS"
"48610.228183/2023-79","2023","","Aprovado","2024-01-17","","","","2.6","SUDOESTE URUCU","SOLIMÕES","PETROBRAS","CAMPO TERRA","SUDOESTE URUCU"
"48610.228183/2024-50","2024","","Recebido","","","","","","JIRIBATUBA (LICITADO)","CAMAMU","GUINDASTES","CAMPO TERRA","JIRIBATUBA (LICITADO)"
"48610.228255/2023-88","2023","","Aprovado","2024-02-19","","","","2.5","CUPIÚBA","SOLIMÕES","PETROBRAS","CAMPO TERRA","CUPIÚBA"
"48610.228256/2023-22","2023","","Aprovado","2024-02-19","","","","2.5","CARAPANAÚBA","SOLIMÕES","PETROBRAS","CAMPO TERRA","CARAPANAÚBA"
"48610.229016/2024-26","2024","","Aprovado","2026-01-16","","","","0.6","TUCANO GRANDE","TUCANO SUL","IMETAME","CAMPO TERRA","TUCANO GRANDE"
"48610.229511/2023-54","2023","","Aprovado","2024-09-06","","","","1.9","FAZENDA ALTO DAS PEDRAS","RECÔNCAVO","3R PETROLEUM","CAMPO TERRA","FAZENDA ALTO DAS PEDRAS"
"48610.229928/2023-17","2023","","Aprovado","2026-02-26","","","","0.5","ABALONE | ARGONAUTA | OSTRA","CAMPOS","SHELL","CAMPO MAR | INSTALACAO MAR","ABALONE | ARGONAUTA | FPSO ESPIRITO SANTO | OSTRA"
"48610.230652/2023-10","2023","","Aprovado","2023-11-27","","","","2.7","CAMORIM","SERGIPE","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE CAMORIM 11"
"48610.231426/2023-56","2023","","Aprovado","2025-09-22","","","","0.9","AGULHA","POTIGUAR","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE AGULHA 1"
"48610.231456/2023-62","2023","","Aprovado","2025-06-30","","","","1.1","AGULHA","POTIGUAR","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE AGULHA 3"
"48610.231475/2023-99","2023","","Aprovado","2024-06-20","","","","2.1","MARLIM","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 19"
"48610.231516/2024-28","2024","","Aprovado","2026-01-08","","","","0.6","GARÇA BRANCA","ESPÍRITO SANTO","ORIGEM ENERGIA","CAMPO TERRA","GARÇA BRANCA"
"48610.231586/2022-14","2022","","Encerrado","","","","","","BENFICA","POTIGUAR","PETROBRAS","CAMPO TERRA","BENFICA"
"48610.232616/2024-71","2024","","Recebido","","","","","","ALBACORA","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 31"
"48610.233416/2024-36","2024","","Aprovado","2026-03-16","","","","0.4","BARRACUDA","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 43"
"48610.233508/2024-16","2024","","Aprovado","2026-04-15","","","","0.3","CARATINGA","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 48"
"48610.233534/2024-44","2024","","Aprovado","2026-06-11","","","","0.2","MANATI","CAMAMU","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE MANATI"
"48610.233589/2024-54","2024","","Recebido","","","","","","CANDEIAS","RECÔNCAVO","3R PETROLEUM","CAMPO TERRA","CANDEIAS"
"48610.233603/2025-09","2025","","Aprovado","2026-05-15","","","","0.2","ESPADA","CEARÁ","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE ESPADA 1"
"48610.234185/2022-16","2022","","Aprovado","2023-02-03","","","","3.5","MARLIM","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 35"
"48610.234236/2025-52","2025","","Recebido","","","","","","ATUM","CEARÁ","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE ATUM 1 | PLATAFORMA DE ATUM 2 | PLATAFORMA DE ATUM 3"
"48610.234576/2023-11","2023","","Aprovado","2024-02-23","","","","2.5","CAIOBA","SERGIPE","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE CAIOBA 1 | PLATAFORMA DE CAIOBA 2 | PLATAFORMA DE CAIOBA 3 | PLATAFORMA DE CAIOBA 4"
"48610.234812/2025-61","2025","","Recebido","","","","","","XARÉU","CEARÁ","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE XAREU 1 | PLATAFORMA DE XAREU 2 | PLATAFORMA DE XAREU 3"
"48610.236594/2023-38","2023","","Aprovado","2025-03-26","Recebido","","","1.4","MACAU","POTIGUAR","3R PETROLEUM","INSTALACAO MAR","PLATAFORMA 3R-4"
"48610.237652/2023-41","2023","","Recebido","","","","","","SALGO","SERGIPE","PETROBRAS","CAMPO MAR","SALGO"
"48610.239609/2023-10","2023","","Aprovado","2025-07-15","","","","1.1","FAZENDA GAMELEIRA","RECÔNCAVO","ORIGEM ENERGIA","CAMPO TERRA","FAZENDA GAMELEIRA"
"48610.239779/2023-02","2023","","Aprovado","2024-06-03","","","","2.2","CAMORIM","SERGIPE","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE CAMORIM 1 | PLATAFORMA DE CAMORIM 10 | PLATAFORMA DE CAMORIM 2 | PLATAFORMA DE CAMORIM 3 | PLATAFORMA DE C"
