"protocolo","ano","tipo_pdi","status_pdi","aprov_pdi","status_rdi","aprov_rdi","ciclo_anos","pendente_anos","campo","bacia","operador","classe","objeto"
"48610.015254/2016-46","2016","","Recebido","","","","","","SARDINHA","CAMAMU","PETROBRAS","CAMPO MAR","SARDINHA"
"48610.016383/2011-47","2011","Integral","Aprovado","2012-05-23","","","","14.2","MUTUM","ALAGOAS","PETROBRAS","CAMPO TERRA","MUTUM"
"48610.200386/2022-10","2022","","Aprovado","2022-10-10","","","","3.8","","","PETROBRAS","INSTALACAO MAR","MONOBOIA DE PRA-1"
"48610.200472/2022-22","2022","","Recebido","","","","","","CAMAÇARI","RECÔNCAVO","PETROBRAS","CAMPO TERRA","CAMAÇARI"
"48610.201304/2022-54","2022","Integral","Aprovado","2022-03-03","","","","4.4","PARAMIRIM DO VENCIMENTO","RECÔNCAVO","PETROBRAS","CAMPO TERRA","PARAMIRIM DO VENCIMENTO"
"48610.201671/2025-09","2025","","Recebido","","","","","","RIACHO SESMARIA","RECÔNCAVO","PETROIL","CAMPO TERRA","RIACHO SESMARIA"
"48610.201673/2021-66","2021","","Encerrado","","","","","","MARLIM","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 18 | PETROBRAS 19 | PETROBRAS 20 | PETROBRAS 26 | PETROBRAS 27 | PETROBRAS 32 | PETROBRAS 33 | PETROBRAS 35 |"
"48610.202149/2026-17","2026","","Aprovado","2026-02-26","","","","0.5","ILHA DE BIMBARRA","RECÔNCAVO","3R PETROLEUM","CAMPO TERRA","ILHA DE BIMBARRA"
"48610.202285/2019-88","2019","","Sobrestado","","","","","","ARABAIANA","POTIGUAR","PETROBRAS","CAMPO MAR | INSTALACAO MAR","PLATAFORMA DE ARABAIANA 3"
"48610.202358/2021-56","2021","","Encerrado","","Recebido","","","","NOROESTE DO MORRO ROSADO","POTIGUAR","PETROBRAS","CAMPO TERRA","NOROESTE DO MORRO ROSADO"
"48610.202851/2020-95","2020","","Recebido","","","","","","GUARÁ","SERGIPE","UBX","CAMPO TERRA","GUARÁ"
"48610.203006/2022-07","2022","","Aprovado","2022-03-29","","","","4.4","BEIJA-FLOR","RECÔNCAVO","PETROBRAS","CAMPO TERRA","BEIJA-FLOR"
"48610.203055/2022-31","2022","","Aprovado","2023-11-24","","","","2.7","MACAU","POTIGUAR","3R PETROLEUM","INSTALACAO MAR","PLATAFORMA 3R-5"
"48610.203201/2025-71","2025","","","","Recebido","","","","CACHALOTE","CAMPOS","PETROBRAS","CAMPO MAR","CACHALOTE"
"48610.203849/2022-03","2022","","Recebido","","","","","","RIO JOANES","RECÔNCAVO","PETROBRAS","CAMPO TERRA","RIO JOANES"
"48610.204123/2019-84","2019","","Encerrado","","","","","","LAGOA VERDE","RECÔNCAVO","PETROBRAS","CAMPO TERRA","LAGOA VERDE"
"48610.204581/2026-42","2026","","Recebido","","","","","","AGULHA","POTIGUAR","PETROBRAS","CAMPO MAR | INSTALACAO MAR","AGULHA | PLATAFORMA DE AGULHA 1 | PLATAFORMA DE AGULHA 3"
"48610.204754/2021-18","2021","Integral","Aprovado","2022-01-07","","","","4.6","FAZENDA SORI","RECÔNCAVO","PETROBRAS","CAMPO TERRA","FAZENDA SORI"
"48610.204756/2021-15","2021","","","","Aprovado","2023-12-12","","","POJUCA NORTE","RECÔNCAVO","GUINDASTES","CAMPO TERRA","POJUCA NORTE"
"48610.204775/2021-33","2021","","Encerrado","","","","","","DOM JOÃO","RECÔNCAVO","","CAMPO TERRA","DOM JOÃO"
"48610.205021/2023-62","2023","","Aprovado","2023-03-09","Recebido","","","3.4","GAVIÃO PRETO","PARNAÍBA","ENEVA","CAMPO TERRA","GAVIÃO PRETO"
"48610.205025/2023-41","2023","","Aprovado","2023-03-09","Recebido","","","3.4","GAVIÃO CARIJÓ","PARNAÍBA","ENEVA","CAMPO TERRA","GAVIÃO CARIJÓ"
"48610.205413/2024-11","2024","","Aprovado","2026-05-25","","","","0.2","ENCHOVA","CAMPOS","TRIDENT","INSTALACAO MAR","PLATAFORMA 65"
"48610.205550/2024-47","2024","","Aprovado","2025-07-15","","","","1.1","CAMBACICA","RECÔNCAVO","3R PETROLEUM","CAMPO TERRA","CAMBACICA"
"48610.205761/2022-18","2022","","Aprovado","2018-02-20","Recebido","","","8.5","MOSQUITO NORTE","ESPÍRITO SANTO","PETROBRAS","CAMPO TERRA","MOSQUITO NORTE"
"48610.205764/2022-51","2022","","Aprovado","2017-09-04","Aprovado","2025-03-17","7.5","","MOSQUITO","ESPÍRITO SANTO","PETROBRAS","CAMPO TERRA","MOSQUITO"
"48610.205770/2022-17","2022","Integral","Aprovado","2022-05-26","","","","4.2","LAGOA VERDE","RECÔNCAVO","PETROBRAS","CAMPO TERRA","LAGOA VERDE"
"48610.205979/2024-34","2024","","Aprovado","2025-07-15","","","","1.1","PARIRI","RECÔNCAVO","3R PETROLEUM","CAMPO TERRA","PARIRI"
"48610.206203/2019-74","2019","","Aprovado","2015-02-20","Aprovado","2021-10-19","6.7","","SÃO MANOEL | SÃO MANOEL (LICITADO)","POTIGUAR","ARCLIMA","CAMPO TERRA","SÃO MANOEL"
"48610.206253/2020-95","2020","","","","Aprovado","2023-09-11","","","PINAÚNA","CAMAMU","3R PETROLEUM","CAMPO MAR","PINAÚNA"
"48610.207426/2021-73","2021","","Aprovado","2021-10-29","","","","4.8","MIRANGA LESTE","RECÔNCAVO","PETROBRAS","CAMPO TERRA","MIRANGA LESTE"
"48610.207645/2022-33","2022","","Aprovado","2022-04-11","","","","4.3","BADEJO | BICUDO | BONITO | ENCHOVA | ENCHOVA OESTE | LINGUADO | MARIMBÁ | PAMPO","CAMPOS","PETROBRAS","CAMPO MAR","BADEJO | BICUDO | BONITO | ENCHOVA | ENCHOVA OESTE | LINGUADO | MARIMBÁ | PAMPO | PIRAÚNA | TRILHA"
"48610.207745/2019-64","2019","","Aprovado","2020-08-12","","","","6","CABOCLINHO","POTIGUAR","IMETAME","CAMPO TERRA","CABOCLINHO"
"48610.207983/2019-70","2019","","Encerrado","","","","","","TIZIU","POTIGUAR","PETROBRAS","CAMPO TERRA","TIZIU"
"48610.207985/2025-15","2025","","Recebido","","","","","","FAZENDA BELÉM CE","POTIGUAR","3R PETROLEUM","CAMPO TERRA","FAZENDA BELÉM CE"
"48610.208115/2025-55","2025","","Recebido","","","","","","NAMORADO","CAMPOS","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE NAMORADO 2"
"48610.208116/2025-08","2025","","Recebido","","","","","","NAMORADO","CAMPOS","PETROBRAS","INSTALACAO MAR","PLATAFORMA DE NAMORADO 1"
"48610.208260/2021-11","2021","","Aprovado","2024-04-16","","","","2.3","JUBARTE","CAMPOS","PETROBRAS","INSTALACAO MAR","FPSO CAPIXABA"
