"instalacao","fase","superficie","operador","tipo","inicio","parada","removida","lamina_m","vida_projeto"
"34/8-A-26  H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2001-01-01","","","335","20"
"34/8-A-3 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1999-05-26","","","335","20"
"34/8-A-30 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2000-01-01","","","335","20"
"34/8-A-33 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2005-10-18","","","335","20"
"34/8-A-4 H/AH","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2001-01-01","","","335","20"
"34/8-A-5 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2000-08-05","","","335","20"
"34/8-A-6 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1999-05-26","","","335","20"
"34/8-A-8 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2010-01-01","","","335","20"
"34/8-A-9 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2012-06-01","","","335","20"
"35/11-B-31 H","INSTALLATION","N","Equinor Energy AS","SINGLE WELL TEMPLATE","","","","356",""
"36/22","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","1975-10-14","","2010-07-18","73","20"
"36/22-BP","IN SERVICE","N","ConocoPhillips Skandinavia AS","SUBSEA STRUCTURE","1983-01-01","","","73",""
"37/4","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","1975-10-14","","2010-07-17","85","20"
"37/4-BP","IN SERVICE","N","ConocoPhillips Skandinavia AS","SUBSEA STRUCTURE","1987-01-01","","","85",""
"6/3-A-1 H GAUPE","REMOVED","N","","SINGLE WELL TEMPLATE","2012-03-31","","2025-06-30","85","15"
"6407/2-VA NONA","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-17","","","260","20"
"6407/2-VB FLYNDRETIND","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-17","","","260","20"
"6407/6-VC GAMMA/HAREPUS","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-17","","","234","20"
"6407/7-A-1 H","DECOMMISSIONED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-10 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-11 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-12 H","DECOMMISSIONED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-13 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2002-01-01","","","330","20"
"6407/7-A-14 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-16 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-17 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-18 H","DECOMMISSIONED","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-19 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-4 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2004-01-31","","","330",""
"6407/7-A-5 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-6 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-7 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-8 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/7-A-9 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","1997-10-01","","","330",""
"6407/9-A-53 H","SHUT DOWN","N","OKEA ASA","SINGLE WELL TEMPLATE","1993-10-19","2012-01-01","","277","20"
"6407/9-A-55 H","SHUT DOWN","N","OKEA ASA","SINGLE WELL TEMPLATE","1993-10-19","2012-01-01","","286","20"
"6407/9-A-58 H","SHUT DOWN","N","OKEA ASA","SINGLE WELL TEMPLATE","1993-10-19","2012-01-01","","243","20"
"6407/9-D-1 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2001-12-13","","","265","20"
"6407/9-D-2 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2002-04-22","","","265","20"
"6407/9-D-3 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2008-09-27","","","254","20"
"6407/9-E-1 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2002-11-30","","","293","20"
"6407/9-E-2 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2002-11-30","","","293","12"
"6407/9-E-3 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2008-06-15","","","293","20"
"6407/9-E-4 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2014-12-01","","","296",""
"6407/9-G-1 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2014-11-01","","","259",""
"6407/9-G-2 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2016-06-12","","","245",""
"6407/9-G-3 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2016-06-23","","","268",""
"6407/9-G-5 H","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2017-06-01","","","289",""
"6407/9-H-1","IN SERVICE","N","OKEA ASA","SINGLE WELL TEMPLATE","2023-10-01","","","244","25"
"6507/11-V H YTTERGRYTA","SHUT DOWN","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2009-01-06","2011-01-01","","297","15"
"6507/11-WA SIGRID","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-17","","","260","20"
"6507/11-WB NATALIA","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-17","","","260","20"
"6507/3-G-1H ÆRFUGL","IN SERVICE","N","Aker BP ASA","SINGLE WELL TEMPLATE","2021-11-03","","","368","25"
"6507/3-H-1H ÆRFUGL","IN SERVICE","N","Aker BP ASA","SINGLE WELL TEMPLATE","2021-11-03","","","356","25"
"6507/5-K-1H ÆRFUGL","IN SERVICE","N","Aker BP ASA","SINGLE WELL TEMPLATE","2020-11-12","","","409","25"
"6507/5-L-1H ÆRFUGL","IN SERVICE","N","Aker BP ASA","SINGLE WELL TEMPLATE","2020-11-12","","","406","25"
"6507/5-M-1H ÆRFUGL","IN SERVICE","N","Aker BP ASA","SINGLE WELL TEMPLATE","2020-11-12","","","420","25"
"6507/8-D-5 H","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2007-02-01","","","357","20"
"ALBUSKJELL A","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 12 LEGS","1979-05-01","","2013-08-01","71","20"
"ALBUSKJELL A-BS","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1979-05-01","","2007-06-15","70","20"
"ALBUSKJELL A-FL","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1979-05-01","","2007-06-15","70","20"
"ALBUSKJELL F","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 12 LEGS","1979-05-01","","2011-07-01","71","20"
"ALBUSKJELL F-BS","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1979-05-01","","2007-06-30","70","20"
"ALBUSKJELL F-FL","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1979-05-01","","2007-06-30","70","20"
"ALVE","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2009-03-19","","","390","20"
"ALVE NORD","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","370",""
"ALVHEIM EAST RISER BASE","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","2008-06-08","","","125","20"
"ALVHEIM FPSO","IN SERVICE","Y","Aker BP ASA","FPSO","2008-06-08","","","125","20"
"ALVHEIM SOUTH RISER BASE","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","2008-06-08","","","125","20"
"ALVHEIM WEST RISER BASE","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","2008-06-08","","","125","20"
