"instalacao","fase","superficie","operador","tipo","inicio","parada","removida","lamina_m","vida_projeto"
"EKOFISK X-BS","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1997-01-01","","","76","30"
"EKOFISK Z","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","2013-10-25","","","79","40"
"ELDFISK A","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 12 LEGS","1979-08-01","","","71","20"
"ELDFISK B","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 12 LEGS","1979-08-01","","","71","20"
"ELDFISK B-FL","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1979-08-01","","","70","20"
"ELDFISK E","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","2000-01-01","","","72","20"
"ELDFISK FTP","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","1979-08-01","","","77","20"
"ELDFISK FTP-BS","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1979-08-01","","2024-07-01","70","20"
"ELDFISK FTP-FL","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1979-08-01","","2024-07-01","70","20"
"ELDFISK NA","IN SERVICE","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","2024-05-05","","","71","25"
"ELDFISK NB","IN SERVICE","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","2024-05-05","","","71","25"
"ELDFISK NC","IN SERVICE","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","2024-05-05","","","71","25"
"ELDFISK NC-T","IN SERVICE","N","ConocoPhillips Skandinavia AS","SUBSEA STRUCTURE","2024-05-05","","","71","25"
"ELDFISK S","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","2015-01-03","","","72",""
"ELDFISK S-BS","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","2015-01-03","","","72",""
"EMBLA","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","1993-05-13","","","70","20"
"EMDEN","IN SERVICE","Y","Gassco AS","ONSHORE FACILITY","1977-09-17","","","0",""
"EMDEN SSIV","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","1998-08-18","","","77","33"
"ENERGIVERK MONGSTAD","IN SERVICE","Y","","ONSHORE FACILITY","2009-09-28","","","0","20"
"EUROPIPE","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"EUROPIPE-SCP","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","1995-10-01","","","36","50"
"FENJA G","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2023-04-28","","","325",""
"FENJA GAS INJ/LIFT PLEM","INSTALLATION","N","Vår Energi ASA","SUBSEA STRUCTURE","2021-10-01","","","325","25"
"FENJA H","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2023-04-28","","","325",""
"FENJA PRODUCTION PLET","INSTALLATION","N","Vår Energi ASA","SUBSEA STRUCTURE","2021-10-01","","","325","25"
"FENJA WATER INJ RISER BASE","INSTALLATION","N","Vår Energi ASA","SUBSEA STRUCTURE","2021-10-01","","","325","25"
"FENRIS","INSTALLATION","Y","Aker BP ASA","JACKET 4 LEGS","","","","68","30"
"FLAGS TCS","SHUT DOWN","N","","SUBSEA STRUCTURE","","2022-05-01","","139","30"
"FLAGS-T","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","2007-10-12","","","140","30"
"FLORØ T","INSTALLATION","N","Gassco AS","SUBSEA STRUCTURE","","","","345","50"
"FOSSEKALL P","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2013-03-13","","","358","20"
"FOSSEKALL R","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2013-03-13","","","358","20"
"FRAM A1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2003-10-02","","","360",""
"FRAM A2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2003-10-02","","","360",""
"FRAM B1","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2006-10-30","","","355","15"
"FRAM B2","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2006-10-30","","","355","15"
"FRAM H NORD","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2014-09-06","","","360","25"
"FRAM SØR B4","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","340","25"
"FRAM SØR B5","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","340","25"
"FRAM SØR C1","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","340","25"
"FRAM SØR C2","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","340","25"
"FRAM T-1","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2006-10-30","","","360",""
"FRAM T-2","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2006-10-30","","","360",""
"FRANPIPE T","INSTALLATION","N","Gassco AS","SUBSEA STRUCTURE","1998-07-01","","","30","50"
"FREDERICIA","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"FRIGG DP1","REMOVED","Y","Aker BP ASA","JACKET 8 LEGS","","","2009-09-30","98",""
"FRIGG DP2","REMOVED","Y","Aker BP ASA","JACKET 8 LEGS","1978-08-01","","2008-07-31","97","20"
"FRIGG QP","REMOVED","Y","","JACKET 4 LEGS","","","2009-08-31","102",""
"FRIGG TCP2","ABANDONED IN PLACE","Y","Aker BP ASA","CONDEEP 3 SHAFTS","1978-08-01","","","102","60"
"FRIGG TP1-Y","INSTALLATION","N","Equinor Energy AS","SUBSEA STRUCTURE","","","","105","30"
"FROSK TEST PRODUCER","IN SERVICE","N","Aker BP ASA","SINGLE WELL TEMPLATE","2019-08-26","","","120","20"
"FRØY","REMOVED","Y","Aker BP ASA","JACKET 4 LEGS","1995-05-11","","2002-08-01","119","20"
"FULLA","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","105","25"
"GDANSK","IN SERVICE","Y","","LANDFALL","","","","0",""
"GEKKO NORD MANIFOLD","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","2023-10-26","","","120","25"
"GEKKO SØR MANIFOLD","IN SERVICE","N","Aker BP ASA","SUBSEA STRUCTURE","2023-10-26","","","125","25"
"GINA KROG","IN SERVICE","Y","Equinor Energy AS","JACKET 4 LEGS","2017-06-30","","","116","30"
"GINA KROG FSO","REMOVED","Y","Equinor Energy AS","FSU","2017-10-03","","2024-09-01","116",""
"GINA KROG T","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","","","","116","30"
"GJØA","IN SERVICE","Y","Vår Energi ASA","SEMISUB STEEL","2010-11-07","","","360","30"
"GJØA B","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2010-11-07","","","350","20"
"GJØA C","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2010-11-07","","","350","20"
"GJØA D","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2010-11-07","","","350","20"
"GJØA E","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2010-11-07","","","370","20"
"GJØA F","IN SERVICE","N","Vår Energi ASA","SINGLE WELL TEMPLATE","2010-11-07","","","370","20"
"GJØA G","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2021-02-22","","","363","20"
"GJØA-T","IN SERVICE","N","Vår Energi ASA","SUBSEA STRUCTURE","2010-11-10","","","150","30"
"GOLIAT B","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2016-03-12","","","387","20"
"GOLIAT C","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2016-03-12","","","376","20"
"GOLIAT D","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2016-03-12","","","350","20"
"GOLIAT E","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2016-03-12","","","323","20"
"GOLIAT F","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2016-03-12","","","350","20"
"GOLIAT FPSO","IN SERVICE","Y","Vår Energi ASA","FPSO","2016-03-12","","","371","30"
"GOLIAT G","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2016-03-12","","","394","20"
"GOLIAT H","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2016-03-12","","","387","20"
"GOLIAT I","IN SERVICE","N","Vår Energi ASA","MULTI WELL TEMPLATE","2016-03-12","","","327","20"
"GRANE","IN SERVICE","Y","Equinor Energy AS","JACKET 8 LEGS","2003-09-23","","","127","30"
"GRANE SSIV","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2003-09-23","","","127","30"
"GRANE-Y","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2015-11-28","","","125","30"
"GUDRUN","IN SERVICE","Y","Equinor Energy AS","JACKET 4 LEGS","2014-04-07","","","109","20"
"GULLFAKS A","IN SERVICE","Y","Equinor Energy AS","CONDEEP 4 SHAFTS","1986-12-21","","","133","30"
"GULLFAKS A SSIV","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2001-02-01","","","135","30"
"GULLFAKS A-SPM 1","REMOVED","Y","Equinor Energy AS","LOADING SYSTEM","1986-12-21","","2014-05-15","136","30"
"GULLFAKS A-SPM 2","REMOVED","Y","Equinor Energy AS","LOADING SYSTEM","1988-02-29","","2014-08-30","136","30"
"GULLFAKS B","IN SERVICE","Y","Equinor Energy AS","CONDEEP 4 SHAFTS","1988-02-29","","","141","30"
"GULLFAKS C","IN SERVICE","Y","Equinor Energy AS","CONDEEP 4 SHAFTS","1989-11-04","","","216","30"
"GULLFAKS C SSIV","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2001-02-01","","","215","30"
"GULLFAKS OLS-1","IN SERVICE","N","Equinor Energy AS","LOADING SYSTEM","2014-06-01","","","136","30"
"GULLFAKS OLS-2","IN SERVICE","N","Equinor Energy AS","LOADING SYSTEM","2014-09-15","","","136","30"
"GULLFAKS SC","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2015-10-11","","","135","20"
"GULLFAKS SØR D","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-10-08","","","135","20"
"GULLFAKS SØR E","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-10-08","","","135","20"
"GULLFAKS SØR F","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-10-08","","","135","20"
"GULLFAKS SØR G","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-10-08","","","135","20"
"GULLFAKS SØR H","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-10-08","","","135","20"
"GULLFAKS SØR I","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-10-08","","","135","20"
"GULLFAKS SØR J","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-10-08","","","135","20"
"GULLFAKS SØR K","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1998-10-08","","","135","20"
"GULLFAKS SØR L","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2001-10-01","","","135","20"
"GULLFAKS SØR M","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2001-10-01","","","135","20"
"GULLFAKS SØR O","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2015-07-27","","","135","25"
"GULLFAKS SØR P","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2015-07-27","","","135","25"
"GULLFAKS SØR Q","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2016-08-29","","","140","25"
"GULLFAKS T","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","2001-02-01","","","136","30"
"GYDA","REMOVED","Y","","JACKET 6 LEGS","1990-06-22","","2022-08-01","66","20"
"GYDA-Y","INSTALLATION","N","","SUBSEA STRUCTURE","1990-04-22","","","71","30"
"H-7","REMOVED","Y","Gassco AS","JACKET 8 LEGS","1977-09-17","","2013-05-15","41","20"
"H-7 BP","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","2007-06-25","","","40","28"
"HARALD A","IN SERVICE","Y","","JACKET 4 LEGS","","","","0",""
"HARALD-Y","IN SERVICE","N","","SUBSEA STRUCTURE","","","","0",""
"HAUGSNESET","IN SERVICE","Y","Equinor Energy AS","LANDFALL","2018-10-01","","","0",""
"HEIDRUN","IN SERVICE","Y","Equinor Energy AS","TLP CONCRETE","1995-10-19","","","345","50"
"HEIDRUN B","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1995-08-15","","","339","25"
"HEIDRUN C","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1995-08-15","","","327","25"
"HEIDRUN D","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2000-08-15","","","359","20"
"HEIDRUN E","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2000-08-15","","","363","20"
"HEIDRUN F","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","358","20"
"HEIDRUN FSU","IN SERVICE","Y","Equinor Energy AS","FSU","2015-06-01","","","0","30"
"HEIDRUN PLEM-1","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-10-19","","","343","50"
"HEIDRUN PLEM-2","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-10-19","","","345","50"
"HEIDRUN RISER-BASE","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-08-15","","","350","25"
"HEIDRUN SDU","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2000-08-15","","","345","25"
"HEIDRUN STL-I","REMOVED","N","Equinor Energy AS","LOADING SYSTEM","1995-10-19","","2022-09-15","343","25"
"HEIDRUN STL-II","IN SERVICE","N","Equinor Energy AS","LOADING SYSTEM","2014-08-20","","","353","30"
"HEIDRUN TEMPLATE","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1995-08-15","","","345","40"
"HEIDRUN UMBILCAL BASE","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1995-08-15","","","350","25"
"HEIMDAL","PARTLY REMOVED","Y","Aker BP ASA","JACKET 8 LEGS","1985-10-15","","","120","30"
"HEIMDAL HRP","REMOVED","Y","Gassco AS","JACKET 4 LEGS","2000-09-30","","2025-05-31","120","30"
"HOD","REMOVED","Y","Aker BP ASA","JACKET 4 LEGS","1990-08-01","","2025-05-31","72","15"
"HOD B","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","2022-04-11","","","72","30"
"HOUND POINT","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"HUGIN A","INSTALLATION","Y","Aker BP ASA","JACKET 8 LEGS","","","","120","25"
"HUGIN B","INSTALLATION","Y","Aker BP ASA","JACKET 4 LEGS","","","","120","30"
"HULDRA","REMOVED","Y","Equinor Energy AS","JACKET 4 LEGS","2001-11-21","","2019-10-01","125","20"
"HYGGEVANNET","IN SERVICE","Y","Vår Energi ASA","LANDFALL","2016-03-12","","","0",""
"HYME","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2013-02-25","","","256","25"
"HÆWENE BRIM","IN SERVICE","Y","","FPSO","1999-01-01","","","82",""
"IDUN","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2012-12-31","","","393","25"
"IDUN NORD","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","377",""
"ILT EHTF Skarv","IN SERVICE","N","","SUBSEA STRUCTURE","","","","0",""
"INSPIRER","IN SERVICE","Y","Repsol Norge AS","JACK-UP 3 LEGS","2021-10-25","","","90","30"
"IRPA","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","1348","25"
"IVAR AASEN","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","2016-12-24","","","113","25"
"JOHAN CASTBERG CA","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-31","","","365","30"
"JOHAN CASTBERG CB","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-31","","","361","30"
"JOHAN CASTBERG CC","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-31","","","344","30"
"JOHAN CASTBERG CD","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2025-03-31","","","345","30"
"JOHAN CASTBERG DA","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-31","","","373","30"
"JOHAN CASTBERG EA","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-31","","","378","30"
"JOHAN CASTBERG EB","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-31","","","389","30"
"JOHAN CASTBERG EC","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-31","","","392","30"
"JOHAN CASTBERG FPSO","IN SERVICE","Y","Equinor Energy AS","FPSO","2025-03-31","","","372","30"
"JOHAN CASTBERG UMBILICAL BASE","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2025-03-31","","","360","30"
"JOHAN CASTBERG YA","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-31","","","371","30"
"JOHAN CASTBERG YB","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-31","","","390","30"
"JOHAN CASTBERG ZA","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2025-03-31","","","367","30"
"JOHAN CASTBERG ZB","IN SERVICE","N","Equinor Energy AS","SINGLE WELL TEMPLATE","2025-03-31","","","358","30"
"JOHAN SVERDRUP D","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2016-06-01","","","120","25"
"JOHAN SVERDRUP DP","IN SERVICE","Y","Equinor Energy AS","JACKET 8 LEGS","2018-11-08","","","113","50"
"JOHAN SVERDRUP E","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2019-10-05","","","120","50"
"JOHAN SVERDRUP F","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2019-10-05","","","120","50"
"JOHAN SVERDRUP G","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2019-10-05","","","120","50"
"JOHAN SVERDRUP H","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2024-03-31","","","115","50"
"JOHAN SVERDRUP J","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","110","50"
"JOHAN SVERDRUP K","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2022-12-15","","","109","50"
"JOHAN SVERDRUP LQ","IN SERVICE","Y","Equinor Energy AS","JACKET 4 LEGS","2019-05-01","","","113","50"
"JOHAN SVERDRUP N","INSTALLATION","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","115","50"
"JOHAN SVERDRUP O","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2022-12-15","","","116","50"
"JOHAN SVERDRUP P","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2022-12-15","","","116","50"
"JOHAN SVERDRUP P1","IN SERVICE","Y","Equinor Energy AS","JACKET 8 LEGS","2019-10-05","","","113","50"
"JOHAN SVERDRUP P2","IN SERVICE","Y","Equinor Energy AS","JACKET 8 LEGS","2022-12-15","","","114","50"
"JOHAN SVERDRUP Q","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2022-12-15","","","117","50"
"JOHAN SVERDRUP RP","IN SERVICE","Y","Equinor Energy AS","JACKET 8 LEGS","2019-10-05","","","115","50"
"JOHAN SVERDRUP STATPIPE HOT TAP","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2019-10-05","","","0",""
"JOHAN SVERDRUP STATPIPE PLEM","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","2019-10-05","","","128",""
"JOTUN B","REMOVED","Y","Vår Energi ASA","JACKET 4 LEGS","1999-10-21","","2020-04-01","127","20"
"JOTUN FPSO","IN SERVICE","Y","Vår Energi ASA","FPSO","2025-06-23","","","126","25"
"JOTUN SSIV","REMOVED","N","Vår Energi ASA","SUBSEA STRUCTURE","1999-11-22","","2021-04-01","126","20"
"JOTUN T","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","1999-11-22","","","120","20"
"KALSTØ","IN SERVICE","Y","Gassco AS","ONSHORE FACILITY","1985-10-01","","","0",""
"KALUNDBORG","IN SERVICE","Y","","LANDFALL","","","","0",""
"KINNEIL","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"KLAB","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"KNARR A","REMOVED","N","","MULTI WELL TEMPLATE","2015-03-16","","2025-06-30","412","20"
"KNARR B","REMOVED","N","","MULTI WELL TEMPLATE","2015-03-16","","2025-06-30","403","20"
"KNELER A","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2008-06-08","","","119","20"
"KNELER B","IN SERVICE","N","Aker BP ASA","MULTI WELL TEMPLATE","2008-06-08","","","124","20"
"KOLLSNES","IN SERVICE","Y","Gassco AS","ONSHORE FACILITY","1996-10-01","","","0",""
"KOLLSNES NÆRINGSPARK","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"KOLLSNES T","INSTALLATION","N","Gassco AS","SUBSEA STRUCTURE","","","","308","50"
"KRAFLA A","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","98","25"
"KRAFLA B","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","98","25"
"KRISTIN","IN SERVICE","Y","Equinor Energy AS","SEMISUB STEEL","2005-11-03","","","360","30"
"KRISTIN N","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2005-11-03","","","368",""
"KRISTIN P","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2005-12-27","","","372",""
"KRISTIN Q","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2024-07-07","","","320","20"
"KRISTIN R","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2006-01-22","","","356",""
"KRISTIN S","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2005-11-03","","","364",""
"KRISTIN T","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","2005-11-05","","","319","50"
"KVITEBJØRN","IN SERVICE","Y","Equinor Energy AS","JACKET 4 LEGS","2004-09-26","","","190","25"
"KVITEBJØRN HTT","INSTALLATION","N","Gassco AS","SUBSEA STRUCTURE","","","","319",""
"KÅRSTØ","IN SERVICE","Y","Gassco AS","ONSHORE FACILITY","1985-10-01","","","0",""
"LANGELED SSVS","IN SERVICE","N","Gassco AS","SUBSEA STRUCTURE","2007-09-13","","","83","50"
"LANGFJELLET NORD","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","114","25"
"LANGFJELLET SØR","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","115","25"
"LAVRANS","ABANDONED IN PLACE","N","Equinor Energy AS","MULTI WELL TEMPLATE","","","","270","20"
"LAVRANS L","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2024-07-07","","","270","20"
"LILLE-FRIGG","REMOVED","N","Aker BP ASA","MULTI WELL TEMPLATE","1994-05-01","","2001-07-01","113",""
"LILLE-FRIGG A","REMOVED","N","Aker BP ASA","SUBSEA STRUCTURE","1994-05-01","","2001-07-01","110",""
"LILLE-FRIGG B","REMOVED","N","Aker BP ASA","MULTI WELL TEMPLATE","1994-05-01","","2001-07-01","113",""
"LISTA","IN SERVICE","Y","","LANDFALL","2011-06-01","","","0",""
"MAINLINE I.V","IN SERVICE","N","","SUBSEA STRUCTURE","","","","0",""
"MARIA G","IN SERVICE","N","Harbour Energy Norge AS","MULTI WELL TEMPLATE","2017-12-17","","","304","25"
"MARIA H","IN SERVICE","N","Harbour Energy Norge AS","MULTI WELL TEMPLATE","2017-12-17","","","303","25"
"MARIA I","IN SERVICE","N","Harbour Energy Norge AS","MULTI WELL TEMPLATE","2025-05-23","","","303",""
"MARTIN LINGE A","IN SERVICE","Y","Equinor Energy AS","JACKET 8 LEGS","2021-06-30","","","114","30"
"MARTIN LINGE B","IN SERVICE","Y","Equinor Energy AS","FSU","2021-06-30","","","114",""
"MARULK","IN SERVICE","N","DNO Norge AS","MULTI WELL TEMPLATE","2012-04-02","","","368","20"
"MELKØYA","IN SERVICE","Y","Equinor Energy AS","ONSHORE FACILITY","2007-09-13","","","0",""
"MIKKEL A","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2003-10-01","","","220","20"
"MIKKEL B","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2003-10-01","","","220","20"
"MIME","REMOVED","N","","MULTI WELL TEMPLATE","1990-10-01","","1999-08-01","85",""
"MONGSTAD","IN SERVICE","Y","Equinor Energy AS","ONSHORE FACILITY","1986-01-01","","","0",""
"MOR-A","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2010-08-01","","","360","20"
"MOR-B","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2010-08-01","","","360","20"
"MTS SSIV","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1992-03-01","","","108","10"
"MUNIN","INSTALLATION","Y","Aker BP ASA","JACKET 4 LEGS","","","","105","25"
"MUNIN SENTRAL","INSTALLATION","N","Aker BP ASA","MULTI WELL TEMPLATE","","","","99","25"
"MURCHISON A","SHUT DOWN","Y","","JACKET 12 LEGS","1980-09-28","2014-03-31","","156",""
"MØRE T","INSTALLATION","N","Gassco AS","SUBSEA STRUCTURE","","","","254","50"
"NATURGASS VEST","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"NATURKRAFT","IN SERVICE","Y","","ONSHORE FACILITY","2007-11-01","","","0",""
"NAVION SAGA","REMOVED","Y","Equinor Energy AS","FSU","2008-02-12","","2016-10-06","90","20"
"NBP","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"NCG","IN SERVICE","Y","","ONSHORE FACILITY","","","","0",""
"NJORD A","IN SERVICE","Y","Equinor Energy AS","SEMISUB STEEL","2022-12-27","","","330","25"
"NJORD BRAVO","IN SERVICE","Y","Equinor Energy AS","FSU","2022-12-27","","","330","25"
"NJORD SDU-1","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1997-10-01","","","330",""
"NJORD SDU-2","IN SERVICE","N","Equinor Energy AS","SUBSEA STRUCTURE","1997-10-01","","","330",""
"NJORD STL","IN SERVICE","Y","Equinor Energy AS","LOADING SYSTEM","1997-10-01","","","101","25"
"NJORD T","IN SERVICE","N","OKEA ASA","SUBSEA STRUCTURE","2007-12-10","","","330","50"
"NORDØST FRIGG","REMOVED","N","Aker BP ASA","MULTI WELL TEMPLATE","1984-01-01","","1996-08-15","102",""
"NORDØST FRIGG A","REMOVED","Y","Aker BP ASA","MONOTOWER","1984-01-01","","1996-07-01","102",""
"NORNE B","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1997-11-05","","","374","25"
"NORNE C","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","1997-11-14","","","375","25"
