"complexo","num","estrutura","operador","tipo","estrutura_maior","contrato","contrato_status","instalada","idade_anos","lamina_m","lat","lon"
"21725","1","A","Chevron U.S.A. Inc.","FIXED","Y","G02076","RELINQ","1971-01-01","55.6","127","28.696263","-92.262275"
"21908","1","B","Chevron U.S.A. Inc.","FIXED","Y","G02076","RELINQ","1975-01-01","51.6","127","28.689201","-92.266576"
"21992","1","1","Chevron U.S.A. Inc.","CAIS","N","G02868","RELINQ","1975-01-01","51.6","12","29.43305","-92.18772"
"22619","1","3","Chevron U.S.A. Inc.","CAIS","N","G02868","RELINQ","1982-01-01","44.6","15","29.447243","-92.193643"
"22664","1","A","Chevron U.S.A. Inc.","FIXED","Y","G02868","RELINQ","1982-01-01","44.6","15","29.447858","-92.192885"
"22664","2","A-QTR","Chevron U.S.A. Inc.","FIXED","Y","G02868","RELINQ","1984-01-01","42.6","15","29.446129","-92.192864"
"22664","3","A-PRD","Chevron U.S.A. Inc.","FIXED","Y","G02868","RELINQ","1984-01-01","42.6","15","29.447586","-92.192877"
"22664","4","A-CMP","Chevron U.S.A. Inc.","FIXED","Y","G02868","RELINQ","1984-01-01","42.6","15","29.447861","-92.192879"
"22704","1","6","Chevron U.S.A. Inc.","CAIS","N","G02868","RELINQ","1982-01-01","44.6","14","29.447289","-92.18667"
"22805","1","8","Chevron U.S.A. Inc.","CAIS","N","G02868","RELINQ","1983-01-01","43.6","17","29.438278","-92.176615"
"22843","1","9","Chevron U.S.A. Inc.","CAIS","N","G02868","RELINQ","1983-01-01","43.6","15","29.448476","-92.173161"
"22937","1","14","Chevron U.S.A. Inc.","CAIS","N","G02868","RELINQ","1984-01-01","42.6","16","29.445205","-92.168605"
"22961","1","13","Chevron U.S.A. Inc.","CAIS","N","G02868","RELINQ","1984-01-01","42.6","15","29.438517","-92.194825"
"23023","1","18","Chevron U.S.A. Inc.","CAIS","N","G02868","RELINQ","1984-01-01","42.6","14","29.43812","-92.169076"
"23631","1","F","Chevron U.S.A. Inc.","FIXED","Y","G01146","RELINQ","1985-01-01","41.6","133","28.570823","-92.445409"
"10091","1","B","Chevron U.S.A. Inc.","FIXED","Y","G02388","TERMIN","1977-01-01","49.6","305","27.964052","-94.388912"
"20592","1","10","Chevron U.S.A. Inc.","CAIS","N","G01351","RELINQ","1966-01-01","60.6","26","29.678151","-93.716455"
"20592","2","PROD","Chevron U.S.A. Inc.","FIXED","Y","G01351","RELINQ","1966-01-01","60.6","26","29.678146","-93.716691"
"20620","3","E","Chevron U.S.A. Inc.","FIXED","N","G01351","RELINQ","1983-01-01","43.6","20","29.685731","-93.73019"
"20620","1","A","Chevron U.S.A. Inc.","FIXED","N","G01351","RELINQ","1965-01-01","61.6","20","29.685317","-93.729541"
"20620","2","D","Chevron U.S.A. Inc.","FIXED","N","G01351","RELINQ","1972-01-01","54.6","20","29.686096","-93.729036"
"20620","4","A-AUX","Chevron U.S.A. Inc.","FIXED","Y","G01351","RELINQ","2003-11-15","22.7","20","29.68602118","-93.72924231"
"32041","1","C","Chevron U.S.A. Inc.","FIXED","Y","G02076","RELINQ","1996-03-26","30.4","130","28.68787669","-92.28009663"
"257","1","A","Chevron U.S.A. Inc.","FIXED","Y","G10930","TERMIN","1998-07-05","28.1","120","29.74576585","-88.15825087"
"346","1","AH","Chevron U.S.A. Inc.","FIXED","N","G04473","RELINQ","1998-11-01","27.8","32","29.15987176","-89.51632403"
"459","1","D","Chevron U.S.A. Inc.","FIXED","N","G02076","RELINQ","1999-07-01","27.1","128","28.70629363","-92.26931262"
"722","1","H","Chevron U.S.A. Inc.","FIXED","N","G01351","RELINQ","2000-06-09","26.2","21","29.67495294","-93.76040694"
"916","1","24","Chevron U.S.A. Inc.","CAIS","N","G02868","RELINQ","2001-04-26","25.3","16","29.4484924","-92.19643779"
"1274","1","I","Chevron U.S.A. Inc.","CAIS","N","G22501","RELINQ","2003-10-28","22.8","35","29.62470104","-93.67306854"
"1305","1","C","Chevron U.S.A. Inc.","CAIS","N","G04473","RELINQ","2003-09-29","22.9","33","29.13894509","-89.52171719"
"2410","1","H","Chevron U.S.A. Inc.","FIXED","N","G01146","RELINQ","2011-01-19","15.6","129","28.58943905","-92.44581651"
"22440","1","A","W & T Offshore, Inc.","FIXED","Y","00590","TERMIN","1981-01-01","45.6","90","28.602353","-91.278189"
"22529","1","B","W & T Offshore, Inc.","FIXED","Y","G01528","TERMIN","1981-01-01","45.6","127","28.445863","-90.893478"
"22210","1","A","McMoRan Oil & Gas LLC","FIXED","Y","G02947","RELINQ","1977-01-01","49.6","146","29.26643","-88.907959"
"22210","2","CF","McMoRan Oil & Gas LLC","FIXED","Y","G02947","RELINQ","1979-01-01","47.6","146","29.266851","-88.908755"
"22289","1","B","McMoRan Oil & Gas LLC","FIXED","Y","G03417","RELINQ","1979-01-01","47.6","120","29.25332419","-88.93064473"
"22576","1","C","McMoRan Oil & Gas LLC","FIXED","Y","G03417","RELINQ","1979-01-01","47.6","135","29.24449","-88.916251"
"21907","1","B","McMoRan Oil & Gas LLC","FIXED","Y","G02062","TERMIN","1975-01-01","51.6","275","28.145659","-92.979509"
"23347","1","B","McMoRan Oil & Gas LLC","FIXED","Y","G01210","TERMIN","1989-01-01","37.6","139","28.594798","-91.869782"
