"COMPLEX_ID_NUM","STRUCTURE_NUMBER","REMOVAL_DISPOSITION"
"21864","2","To Shore"
"21865","1","To Shore"
"21866","1","To Shore"
"21867","1","To Shore"
"21868","1",""
"21869","1","To Shore"
"21870","1","Rigs-to-Reef"
"21871","1","To Shore"
"21872","1",""
"21873","1",""
"21874","1",""
"21875","1","Rigs-to-Reef"
"21876","1","To Shore"
"21877","1","To Shore"
"21878","1","Rigs-to-Reef"
"21879","1","Rigs-to-Reef"
"21879","2","Rigs-to-Reef"
"21880","1","To Shore"
"21881","1","To Shore"
"21882","1","Rigs-to-Reef"
"21883","1","To Shore"
"21883","2","To Shore"
"21883","3","To Shore"
"21883","4","To Shore"
"21884","1","To Shore"
"21886","1","To Shore"
"21887","1",""
"21888","1",""
"21889","1","Rigs-to-Reef"
"21890","1","Rigs-to-Reef"
"21893","1","To Shore"
"21894","1","Rigs-to-Reef"
"21898","1","Rigs-to-Reef"
"21901","1","To Shore"
"21902","1","To Shore"
"21902","2","To Shore"
"21902","3","To Shore"
"21902","4","To Shore"
"21903","1","Rigs-to-Reef"
"21904","1","Rigs-to-Reef"
"21905","1","To Shore"
"21906","1","Rigs-to-Reef"
"21906","2","To Shore"
"21909","1",""
"21910","1","Rigs-to-Reef"
"21911","1","To Shore"
"21914","1","Rigs-to-Reef"
"21915","1","To Shore"
"21917","1","To Shore"
"21918","1",""
"21919","1",""
"21920","1","To Shore"
"21921","1","Rigs-to-Reef"
"21922","1","To Shore"
"21923","1","To Shore"
"21924","1",""
"21925","1","To Shore"
"21926","1","To Shore"
"21927","1","Rigs-to-Reef"
"21928","1","To Shore"
"21929","1","Rigs-to-Reef"
"21932","1","To Shore"
"21934","1","To Shore"
"21934","2","To Shore"
"21934","3","To Shore"
"21937","1","To Shore"
"21938","1","To Shore"
"21939","1","Rigs-to-Reef"
"21940","1","Rigs-to-Reef"
"21941","1","To Shore"
"21941","2","To Shore"
"21943","1","Rigs-to-Reef"
"21944","1","Rigs-to-Reef"
"21945","1","To Shore"
"21945","2","To Shore"
"21946","1","To Shore"
"21947","1","To Shore"
"21948","1","To Shore"
"21949","1","To Shore"
"21949","2","To Shore"
"21950","1","To Shore"
"21951","1","To Shore"
"21952","1",""
"21953","1","To Shore"
"21954","1","Rigs-to-Reef"
"21955","1",""
"21956","1",""
"21957","1",""
"21958","1",""
"21959","1","To Shore"
"21959","2","To Shore"
"21961","1",""
"21963","1","To Shore"
"21964","1","To Shore"
"21965","1","To Shore"
"21966","1","To Shore"
"21967","1","To Shore"
"21967","2","To Shore"
"21967","3","To Shore"
"21967","4","To Shore"
"21969","1","To Shore"
"21970","1",""
"21973","1","To Shore"
"21974","1","To Shore"
"21975","1","Rigs-to-Reef"
"21976","1","To Shore"
"21977","1","Rigs-to-Reef"
"21978","1","To Shore"
"21979","1","To Shore"
"21980","1","Rigs-to-Reef"
"21981","1","Rigs-to-Reef"
"21983","1","To Shore"
"21984","1","To Shore"
"21985","1",""
"21987","1","Rigs-to-Reef"
"21988","1","To Shore"
"21988","2","To Shore"
"21988","3","To Shore"
"21988","5","To Shore"
"21988","6","To Shore"
"21988","7","To Shore"
"21988","8","To Shore"
"21989","1","To Shore"
"21990","1","Rigs-to-Reef"
"21991","1","To Shore"
"21993","1","To Shore"
"21993","2","To Shore"
"21994","1","To Shore"
"21998","1",""
"21998","2",""
"21998","3","To Shore"
"21998","4",""
"22001","1",""
"22002","1","To Shore"
"22003","1","To Shore"
"22004","1",""
"22005","1","To Shore"
"22008","1","To Shore"
"22010","1","To Shore"
"22011","1","To Shore"
"22012","1","To Shore"
"22013","1",""
"22014","1",""
"22015","1",""
"22018","1","To Shore"
"22019","1","To Shore"
"22022","1","To Shore"
"22023","1","Rigs-to-Reef"
"22024","1","To Shore"
"22026","1","To Shore"
"22027","1","To Shore"
"22027","2","To Shore"
"22028","1","To Shore"
"22028","2","Reuse"
"22029","1",""
"22030","1","To Shore"
"22030","2","To Shore"
"22031","1","Rigs-to-Reef"
"22032","1","To Shore"
"22033","1","Rigs-to-Reef"
"22034","1","To Shore"
"22035","1","Rigs-to-Reef"
"22036","1","To Shore"
"22036","2","To Shore"
"22036","3","To Shore"
"22037","1","To Shore"
"22038","1","To Shore"
"22039","1","To Shore"
"22039","2","To Shore"
"22039","3","To Shore"
"22039","4","To Shore"
"22039","5","To Shore"
"22041","1",""
"22043","1",""
"22044","1","Rigs-to-Reef"
"22044","2","Rigs-to-Reef"
"22047","1",""
"22047","2",""
"22048","1","To Shore"
"22049","1","Rigs-to-Reef"
"22050","1","To Shore"
"22051","1","To Shore"
"22053","1","To Shore"
"22054","1",""
"22055","1",""
"22056","1","To Shore"
"22057","1","To Shore"
"22058","1",""
"22060","1","Rigs-to-Reef"
"22061","1",""
"22062","1","To Shore"
"22063","1",""
"22065","1","Rigs-to-Reef"
"22066","1","To Shore"
"22067","1",""
"22068","1","To Shore"
"22068","2","To Shore"
"22069","1","To Shore"
"22070","1","To Shore"
"22071","1","To Shore"
"22071","2","To Shore"
"22072","1",""
"22073","1",""
"22074","1",""
"22075","1",""
"22077","1",""
"22078","1",""
"22079","1",""
"22080","1",""
"22080","2",""
"22082","1","To Shore"
"22083","1",""
"22083","2",""
"22086","1","Rigs-to-Reef"
"22088","1","To Shore"
"22088","2","To Shore"
"22088","3","To Shore"
"22088","4","To Shore"
"22089","1","To Shore"
"22089","2","To Shore"
"22089","3","To Shore"
"22089","4","To Shore"
"22091","1","To Shore"
"22092","1","Rigs-to-Reef"
"22093","1",""
"22094","1",""
"22094","2",""
"22095","1",""
"22096","1","To Shore"
"22096","2","To Shore"
"22097","1",""
"22098","1",""
"22098","2",""
"22098","3","To Shore"
"22099","1",""
"22101","1","Rigs-to-Reef"
"22102","1",""
"22103","2","To Shore"
"22103","3","To Shore"
"22103","4","To Shore"
"22104","1",""
"22105","1","Rigs-to-Reef"
"22106","1","Rigs-to-Reef"
"22107","2","To Shore"
"22109","1","Rigs-to-Reef"
"22110","1",""
"22111","1","Rigs-to-Reef"
"22112","1","Rigs-to-Reef"
"22113","1","Rigs-to-Reef"
"22113","2","Rigs-to-Reef"
"22115","1",""
"22116","1",""
"22117","1","To Shore"
"22119","1","To Shore"
"22120","1","To Shore"
"22121","1","To Shore"
"22124","1",""
"22125","1","To Shore"
"22125","2","To Shore"
"22126","1","To Shore"
"22127","1","Rigs-to-Reef"
"22128","1","To Shore"
"22129","1","To Shore"
"22130","1","To Shore"
"22132","1",""
"22133","1","To Shore"
"22134","1","To Shore"
"22135","1",""
"22136","1","To Shore"
"22137","1","To Shore"
"22138","1","To Shore"
"22139","1","To Shore"
"22142","1","To Shore"
"22143","1",""
"22144","1",""
"22145","1","To Shore"
"22146","1","To Shore"
"22147","1","To Shore"
"22148","1","To Shore"
"22149","1","To Shore"
"22150","1","To Shore"
"22151","1",""
"22152","1","To Shore"
"22153","1",""
"22154","1",""
"22155","1","Rigs-to-Reef"
"22156","1",""
"22156","2",""
"22157","1","To Shore"
"22158","1","To Shore"
"22159","1","To Shore"
"22160","1","To Shore"
"22161","1","To Shore"
"22162","1","Rigs-to-Reef"
"22163","1",""
"22166","1",""
"22167","1","To Shore"
"22168","1","To Shore"
"22169","1",""
"22170","1","To Shore"
"22171","1",""
"22173","1","Rigs-to-Reef"
"22176","1","To Shore"
"22177","1","Rigs-to-Reef"
"22179","1",""
"22180","1",""
"22181","1","To Shore"
"22183","1","To Shore"
"22184","1","To Shore"
"22185","1","To Shore"
"22186","1","To Shore"
"22187","1",""
"22187","2",""
"22188","1",""
"22189","1",""
"22190","1","To Shore"
"22190","2","To Shore"
"22191","1","To Shore"
"22193","1","To Shore"
"22194","1","To Shore"
"22197","1",""
"22198","1","To Shore"
"22200","1","To Shore"
"22201","1","Rigs-to-Reef"
"22202","1","Rigs-to-Reef"
"22205","1","Rigs-to-Reef"
"22206","1","To Shore"
"22207","1","To Shore"
"22208","1","Rigs-to-Reef"
"22211","1",""
"22212","1","Rigs-to-Reef"
"22213","1","Rigs-to-Reef"
"22214","1","To Shore"
"22216","1","To Shore"
"22217","1",""
"22218","1","Rigs-to-Reef"
"22220","1","Rigs-to-Reef"
"22221","1","Rigs-to-Reef"
"22221","2","To Shore"
"22226","1","Rigs-to-Reef"
"22226","2","To Shore"
"22226","3","To Shore"
"22227","1",""
"22228","1","To Shore"
"22229","1",""
"22230","1",""
"22231","1","To Shore"
"22232","1","To Shore"
"22233","1","To Shore"
"22234","1","To Shore"
"22235","1","To Shore"
"22235","2","To Shore"
"22236","1","To Shore"
"22237","1","To Shore"
"22238","1",""
"22239","1","To Shore"
"22240","1","Rigs-to-Reef"
"22241","1",""
"22243","1",""
"22243","2",""
"22243","3",""
"22244","1",""
"22244","2",""
"22245","1",""
"22246","1",""
"22248","1","To Shore"
"22250","1",""
"22251","1",""
"22252","1","To Shore"
"22253","1","To Shore"
"22254","1","To Shore"
"22255","1",""
"22256","1","To Shore"
"22257","1","To Shore"
"22257","2","To Shore"
"22260","1",""
"22261","1",""
"22261","2",""
"22262","1",""
"22265","1","To Shore"
"22266","1","To Shore"
"22267","1","To Shore"
"22267","2","To Shore"
"22268","1","To Shore"
"22269","1","To Shore"
"22270","1",""
"22271","1","To Shore"
"22271","2","To Shore"
"22272","1","To Shore"
"22273","1","To Shore"
"22274","1","Rigs-to-Reef"
"22275","1","Rigs-to-Reef"
"22276","1","To Shore"
"22277","1","Rigs-to-Reef"
"22278","1","To Shore"
"22279","1","Rigs-to-Reef"
"22280","1","Rigs-to-Reef"
"22281","1","To Shore"
"22282","1","To Shore"
"22283","1",""
"22284","1","Rigs-to-Reef"
"22285","1","To Shore"
"22287","1","To Shore"
"22287","2","To Shore"
"22288","1","To Shore"
"22290","1",""
"22290","2",""
"22291","1",""
"22292","1","To Shore"
"22292","2","To Shore"
"22292","3","To Shore"
"22293","1",""
"22294","1","Rigs-to-Reef"
"22295","1","To Shore"
"22295","2","To Shore"
"22297","1","Rigs-to-Reef"
"22298","1","To Shore"
"22299","1","Rigs-to-Reef"
"22300","1",""
"22301","1","To Shore"
"22302","1","To Shore"
"22303","1",""
"22304","1",""
"22305","1",""
"22306","1","Rigs-to-Reef"
"22307","1",""
"22308","1","To Shore"
"22309","1",""
"22310","1","To Shore"
"22312","1",""
"22312","2",""
"22312","3",""
"22313","1","To Shore"
"22314","1","Rigs-to-Reef"
"22315","1",""
"22316","1",""
"22317","1",""
"22318","1",""
"22319","1","Rigs-to-Reef"
"22320","1","To Shore"
"22321","1","To Shore"
"22323","1",""
"22324","1","To Shore"
"22325","1","To Shore"
"22325","2","To Shore"
"22326","1","To Shore"
"22327","1","To Shore"
"22327","2","To Shore"
"22328","1","To Shore"
"22329","1",""
"22330","1","To Shore"
"22330","2","To Shore"
"22332","1",""
"22333","1","To Shore"
"22334","1","To Shore"
"22334","2","To Shore"
"22336","1","Rigs-to-Reef"
"22337","1","Rigs-to-Reef"
"22338","1","To Shore"
"22338","2","To Shore"
"22339","1",""
"22340","1",""
"22341","1","To Shore"
"22342","1","To Shore"
"22343","1","To Shore"
"22344","1","To Shore"
"22346","1","To Shore"
"22347","1","To Shore"
"22348","1","To Shore"
"22350","1",""
"22351","1",""
"22352","1","To Shore"
"22353","1",""
"22354","1","To Shore"
"22356","1",""
"22357","1","To Shore"
"22358","1","To Shore"
"22359","1",""
"22360","1",""
"22361","1","To Shore"
"22362","1","To Shore"
"22363","1","To Shore"
"22363","2","To Shore"
"22364","1","To Shore"
"22365","1",""
"22366","1","To Shore"
"22367","1",""
"22368","1","To Shore"
"22368","2","To Shore"
"22369","1","To Shore"
"22370","1",""
"22371","1","To Shore"
"22372","1","Rigs-to-Reef"
"22373","1",""
"22373","2",""
"22374","1",""
"22376","1",""
"22377","1",""
"22378","1",""
"22379","1","To Shore"
"22381","1",""
"22382","1",""
"22382","2",""
"22384","1","Reuse"
"22384","2","Reuse"
"22384","3","Reuse"
"22385","1",""
"22387","1","To Shore"
"22388","1",""
"22389","1","Reuse"
"22391","1","Rigs-to-Reef"
"22392","1","Rigs-to-Reef"
"22393","1",""
"22394","1","To Shore"
"22395","1","To Shore"
"22396","1",""
"22397","1","To Shore"
"22398","1","To Shore"
"22398","2","To Shore"
"22399","1",""
"22400","1",""
"22404","1","Rigs-to-Reef"
"22405","1","To Shore"
"22407","1","To Shore"
"22408","1","To Shore"
"22408","2","To Shore"
"22410","1",""
"22411","1","Rigs-to-Reef"
"22412","1",""
"22413","1","To Shore"
"22414","1",""
"22415","1",""
"22415","2",""
"22418","1",""
"22419","1",""
"22420","1","To Shore"
"22421","1","To Shore"
"22421","2","To Shore"
"22422","1","To Shore"
"22423","1","To Shore"
"22425","1",""
"22426","1",""
"22427","1",""
"22430","1",""
"22431","1","To Shore"
"22431","2","To Shore"
"22431","3","To Shore"
"22434","1","Rigs-to-Reef"
"22436","1","To Shore"
"22437","1",""
"22438","1","To Shore"
"22442","1","To Shore"
"22442","2","To Shore"
"22442","3","To Shore"
"22444","1","To Shore"
"22445","1","To Shore"
"22446","1",""
"22447","1","To Shore"
"22447","2","To Shore"
"22448","1","To Shore"
"22448","2","To Shore"
"22450","1",""
"22451","1","Rigs-to-Reef"
"22452","1","To Shore"
"22453","1","To Shore"
"22454","1","To Shore"
"22455","1","To Shore"
"22456","1","To Shore"
"22456","2","To Shore"
"22457","1",""
"22458","1","To Shore"
"22459","1",""
"22459","2",""
"22460","1",""
"22461","1","To Shore"
"22462","1",""
"22462","2",""
"22464","1","To Shore"
"22465","1","To Shore"
"22466","1",""
"22467","1","To Shore"
"22468","1","To Shore"
"22471","1","To Shore"
"22472","1","To Shore"
"22472","2","To Shore"
"22473","1","Rigs-to-Reef"
"22473","2","Rigs-to-Reef"
"22476","1",""
"22477","1",""
"22479","1",""
"22480","1",""
"22481","1",""
"22482","1",""
"22482","2",""
"22483","1",""
"22484","1","To Shore"
"22485","1","To Shore"
"22488","1","Rigs-to-Reef"
"22489","1",""
"22491","1",""
"22492","1",""
"22493","1","Rigs-to-Reef"
"22494","1",""
"22496","1","To Shore"
"22496","2",""
"22498","1","To Shore"
"22499","1","To Shore"
"22500","1","To Shore"
"22501","1","To Shore"
"22501","3","To Shore"
"22502","1",""
"22503","1",""
"22504","1",""
"22505","1","To Shore"
"22507","1","To Shore"
"22508","1",""
"22509","1","To Shore"
"22510","1",""
"22511","1",""
"22512","1","To Shore"
"22515","1",""
"22516","1",""
"20886","1",""
"20887","1","To Shore"
"20887","2","To Shore"
"20888","1","To Shore"
"20888","2","To Shore"
"20888","3","To Shore"
"20889","1","To Shore"
"20890","1","To Shore"
"20892","1",""
"20893","1",""
"20894","1",""
"20895","1","To Shore"
"20896","1",""
"20897","1",""
"20898","1","To Shore"
"20898","2","To Shore"
"20898","3","To Shore"
"20899","1","To Shore"
"20900","1","To Shore"
"20901","1","To Shore"
"20902","1","To Shore"
"20903","1",""
"20904","1","To Shore"
"20905","1",""
"20906","1",""
"20907","1",""
"20908","1",""
"20909","1","To Shore"
"20910","1","To Shore"
"20911","1","To Shore"
"20913","1",""
"20913","2",""
"20914","1","To Shore"
"20914","3","To Shore"
"20914","4",""
"20915","1",""
"20916","1","Rigs-to-Reef"
"20917","1",""
"20917","3",""
"20918","1",""
"20919","1","To Shore"
"20919","2","Rigs-to-Reef"
"20920","1","To Shore"
"20920","2","To Shore"
"20921","1","Rigs-to-Reef"
"20922","1","To Shore"
"20922","2","To Shore"
"20923","1","To Shore"
"20923","2","To Shore"
"20924","1",""
"20925","1","To Shore"
"20926","1","To Shore"
"20927","1",""
"20928","2","To Shore"
"20929","1",""
"20930","1","To Shore"
"20931","1","To Shore"
"20931","2","To Shore"
"20932","1","To Shore"
"20933","1","To Shore"
"20934","1","To Shore"
"20934","2",""
"20934","3","To Shore"
"20935","1","To Shore"
"20936","1",""
"20937","1","To Shore"
"20938","1",""
"20939","1","To Shore"
"20939","2","To Shore"
"20939","3","To Shore"
"20940","1","Rigs-to-Reef"
"20940","2","Rigs-to-Reef"
"20942","1","To Shore"
"20943","1","To Shore"
"20944","1","To Shore"
"20946","1",""
"20947","1","Rigs-to-Reef"
"20947","2","To Shore"
"20947","3","To Shore"
"20947","4","To Shore"
"20948","1",""
"20949","1","To Shore"
"20950","1","To Shore"
"20951","1",""
"20952","1",""
"20953","1","To Shore"
"20954","1","To Shore"
"20955","1",""
"20956","1","To Shore"
"20958","1","Rigs-to-Reef"
"20958","2","Rigs-to-Reef"
"20959","1","Rigs-to-Reef"
"20960","1","To Shore"
"20962","1","To Shore"
"20963","1","To Shore"
"20964","1","To Shore"
"20965","1","To Shore"
"20970","1","To Shore"
"20971","1","To Shore"
"20973","1","To Shore"
"20974","1",""
"20975","1",""
"20976","1","To Shore"
"20979","1","To Shore"
"20980","1","To Shore"
"20981","1","To Shore"
"20982","1","To Shore"
"20983","1",""
"20984","1","To Shore"
"20985","1",""
"20986","1","To Shore"
"20987","1",""
"20988","1","To Shore"
"20989","1","To Shore"
"20991","1",""
"20992","1","To Shore"
"20994","1",""
"20995","1",""
"20996","1",""
"20997","1",""
"20998","1","To Shore"
"20999","1",""
"21000","1",""
"21002","1","Rigs-to-Reef"
"21003","1","To Shore"
"21004","1","To Shore"
"21004","2","To Shore"
"21005","1","To Shore"
"21005","2","To Shore"
"21006","1","Rigs-to-Reef"
"21008","1","Rigs-to-Reef"
"21009","1","To Shore"
"21010","1","To Shore"
"21012","1","To Shore"
"21013","1","To Shore"
"21014","1",""
"21015","1",""
"21016","1","To Shore"
"21017","1",""
"21018","1",""
"21019","1","To Shore"
"21020","1","To Shore"
"21021","1","To Shore"
"21022","1","To Shore"
"21023","1","To Shore"
"21024","1",""
"21025","1","To Shore"
"21026","1",""
"21027","1","To Shore"
"21028","1","To Shore"
"21029","1","To Shore"
"21030","1","To Shore"
"21030","2",""
"21030","3","To Shore"
"21030","4",""
"21031","1","To Shore"
"21031","2","To Shore"
"21032","1","To Shore"
"21032","2","To Shore"
"21033","1","To Shore"
"21035","1","To Shore"
"21035","2","To Shore"
"21035","3","To Shore"
"21035","4","To Shore"
"21036","1",""
"21037","1","To Shore"
"21037","2","Rigs-to-Reef"
"21038","1",""
"21039","1",""
"21040","1",""
"21041","1",""
"21041","2",""
"21043","1","To Shore"
"21043","2","To Shore"
"21044","1",""
"21045","1","To Shore"
"21046","1",""
"21047","1",""
"21048","1",""
"21049","1","To Shore"
"21050","1","To Shore"
"21051","1","To Shore"
"21052","1","To Shore"
"21053","1","To Shore"
"21054","1","To Shore"
"21056","1",""
"21057","1","To Shore"
"21058","1",""
"21059","1","To Shore"
"21060","1",""
"21061","1",""
"21062","1","To Shore"
"21063","1",""
"21064","1","To Shore"
"21065","1","To Shore"
"21066","1","To Shore"
"21067","1","To Shore"
"21068","1","To Shore"
"21069","1","To Shore"
"21071","1","To Shore"
"21072","1","To Shore"
"21073","1","To Shore"
"21074","1","To Shore"
"21075","1","To Shore"
"21076","1",""
"21077","1",""
"21078","1","To Shore"
"21079","1","To Shore"
"21080","1","To Shore"
"21081","1","To Shore"
"21082","1",""
"21083","1","To Shore"
"21084","1",""
"21085","1","To Shore"
"21086","1","To Shore"
"21087","1","To Shore"
"21089","1","To Shore"
"21091","1","To Shore"
"21092","1","To Shore"
"21093","1","To Shore"
"21094","1",""
"21095","1","To Shore"
"21096","1","To Shore"
"21099","1","To Shore"
"21101","1","To Shore"
"21102","1",""
"21103","1","To Shore"
"21104","1","To Shore"
"21105","1","To Shore"
"21106","1","To Shore"
"21107","1","To Shore"
"21109","1",""
"21110","1",""
"21111","1",""
"21112","1",""
"21113","1","To Shore"
"21114","1","To Shore"
"21116","1","To Shore"
"21117","1",""
"21118","1",""
"21119","1",""
"21120","1",""
"21121","1","To Shore"
"21122","1","To Shore"
"21123","1","To Shore"
"21124","1","To Shore"
"21125","1",""
"21126","1","To Shore"
"21127","1","To Shore"
"21128","1","To Shore"
"21129","1",""
"21130","1",""
"21131","1",""
"21132","1",""
"21133","1",""
"21134","1","To Shore"
"21135","1","To Shore"
"21136","1","Rigs-to-Reef"
"21137","1","To Shore"
"21137","2",""
"21138","1","To Shore"
"21138","2","To Shore"
"21138","3","To Shore"
"21138","4","To Shore"
"21139","1",""
"21140","1","To Shore"
"21141","1",""
"21143","1",""
"21144","1","Rigs-to-Reef"
"21145","1",""
"21145","2",""
"21146","1",""
"21147","1","To Shore"
"21154","1","To Shore"
"21156","1",""
"21158","1","To Shore"
"21159","1","To Shore"
"21160","1",""
"21162","1","To Shore"
"21164","1","To Shore"
"21169","1","Rigs-to-Reef"
"21170","1","To Shore"
"21170","2","To Shore"
"21170","3","To Shore"
"21170","4","To Shore"
"21171","1",""
"21172","1",""
"21173","1",""
"21174","1",""
"21175","1",""
"21176","1",""
"21177","1","To Shore"
"21178","1",""
"21179","1",""
"21180","1",""
"21181","1",""
"21182","1","To Shore"
"21183","1",""
"21184","1",""
"21185","1",""
"21186","1",""
"21187","1",""
"21188","1","To Shore"
"21189","1","To Shore"
"21190","1",""
"21191","1",""
"21192","1",""
"21193","1","To Shore"
"21194","1","To Shore"
"21195","1",""
"21196","1",""
"21197","1","To Shore"
"21198","1",""
"21199","1","To Shore"
"21200","1",""
"21201","1","To Shore"
"10040","1",""
"10041","1","To Shore"
"10043","1",""
"10044","1","To Shore"
"10045","1",""
"10046","1","To Shore"
"10047","1","To Shore"
"10048","1",""
"10049","1",""
"10050","1","To Shore"
"10051","1","To Shore"
"10052","1",""
"10053","1","To Shore"
"10054","1","To Shore"
"10055","1","To Shore"
"10056","1",""
"10056","2",""
"10056","3",""
"10057","1","Rigs-to-Reef"
"10059","1","Rigs-to-Reef"
"10060","1","Rigs-to-Reef"
"10061","1","Rigs-to-Reef"
"10062","1","Rigs-to-Reef"
"10063","1","Rigs-to-Reef"
"10064","1","Rigs-to-Reef"
"10065","1","Rigs-to-Reef"
"10067","1","Rigs-to-Reef"
"10068","1","Rigs-to-Reef"
"10069","1","To Shore"
"10072","1","Rigs-to-Reef"
"10073","1","Rigs-to-Reef"
"10076","1","Rigs-to-Reef"
"10077","1","Rigs-to-Reef"
"10078","1","Rigs-to-Reef"
"10080","1",""
"10081","1","Rigs-to-Reef"
"10081","2","Rigs-to-Reef"
"10083","1",""
"10084","1","Rigs-to-Reef"
"10085","1","Rigs-to-Reef"
"10086","1","Rigs-to-Reef"
"10087","1","Rigs-to-Reef"
"10088","1","Rigs-to-Reef"
"10088","3","To Shore"
"10089","1","Rigs-to-Reef"
"10090","1","Rigs-to-Reef"
"10092","1","Rigs-to-Reef"
"10096","1","Rigs-to-Reef"
"10099","1",""
"10100","1","To Shore"
"10101","1",""
"10102","1","Rigs-to-Reef"
"10103","1","To Shore"
"10103","2","To Shore"
"10103","3","To Shore"
"10104","1","Rigs-to-Reef"
"10105","1","To Shore"
"10105","2","To Shore"
"10106","1","Rigs-to-Reef"
"10107","1","Rigs-to-Reef"
"10107","2","Rigs-to-Reef"
"10108","1",""
"10108","2",""
"10108","3",""
"10109","1","To Shore"
"10110","1","Rigs-to-Reef"
"10111","1","To Shore"
"10112","1","Rigs-to-Reef"
"10112","2","Rigs-to-Reef"
"10113","1","Rigs-to-Reef"
"10114","1","Rigs-to-Reef"
"10115","1","Rigs-to-Reef"
"10117","1","To Shore"
"10118","1","Rigs-to-Reef"
"10118","2","Rigs-to-Reef"
"10119","1","Rigs-to-Reef"
"10120","1","Rigs-to-Reef"
"10121","1","Rigs-to-Reef"
"10122","1","Rigs-to-Reef"
"10122","2",""
"10123","1","Rigs-to-Reef"
"10124","1","Rigs-to-Reef"
"10125","1","To Shore"
"10126","1",""
"10127","1","Rigs-to-Reef"
"10127","2","Rigs-to-Reef"
"10129","1",""
"10129","2",""
"10130","1",""
"10131","1",""
"10132","1","Rigs-to-Reef"
"10133","1","Rigs-to-Reef"
"10134","1","Rigs-to-Reef"
"10136","1","To Shore"
"10137","1",""
"10138","1","Rigs-to-Reef"
"10139","1","Rigs-to-Reef"
"10141","1","To Shore"
"10142","1",""
"10142","2",""
"10145","1","To Shore"
"10146","1","To Shore"
"10146","2","To Shore"
"10146","3","To Shore"
"10147","1","Rigs-to-Reef"
"10148","1","Rigs-to-Reef"
"10149","1","Rigs-to-Reef"
"10150","1",""
"10151","1",""
"10152","1",""
"10153","1","Rigs-to-Reef"
"10154","1","Rigs-to-Reef"
"10155","1",""
"10155","2",""
"10156","1","Rigs-to-Reef"
"10157","1","To Shore"
"10158","1","Rigs-to-Reef"
"10159","1","To Shore"
"10159","2","To Shore"
"10160","1","Rigs-to-Reef"
"10161","1","Rigs-to-Reef"
"10162","1","Rigs-to-Reef"
"10163","1","Rigs-to-Reef"
"10163","2","Rigs-to-Reef"
"10163","3",""
"10165","1","Rigs-to-Reef"
"10166","1",""
"10167","1",""
"10168","1",""
"10169","1","To Shore"
"10171","1","Rigs-to-Reef"
"10172","1","To Shore"
"10172","2","To Shore"
"10173","1","Rigs-to-Reef"
"10174","1",""
"10176","1","To Shore"
"10177","1","Rigs-to-Reef"
"10179","1","Rigs-to-Reef"
"10180","1",""
"10181","1",""
"10182","1",""
"10183","1",""
"10184","1",""
"10184","2","To Shore"
"10185","1",""
"10185","2",""
"10186","1","Rigs-to-Reef"
"10187","1",""
"10188","1",""
"10189","1","To Shore"
"10190","1","To Shore"
"10191","1","Rigs-to-Reef"
"10192","1","Rigs-to-Reef"
"10193","1","To Shore"
"10195","1","Rigs-to-Reef"
"10196","1","To Shore"
"10197","1","Rigs-to-Reef"
"10198","1","Rigs-to-Reef"
"10199","1","To Shore"
"10199","2","To Shore"
"10199","3","To Shore"
"10201","1","To Shore"
"10201","2","Rigs-to-Reef"
"10202","1","Rigs-to-Reef"
"10203","1","Rigs-to-Reef"
"10203","2","Rigs-to-Reef"
"10204","1","Rigs-to-Reef"
"10205","1","To Shore"
"10205","2","To Shore"
"10206","1","Rigs-to-Reef"
"10207","1",""
"10208","1","To Shore"
"10209","1","To Shore"
"10210","1","Rigs-to-Reef"
"10210","2","Rigs-to-Reef"
"10210","3","To Shore"
"10211","1",""
"10213","1","To Shore"
"10213","2","To Shore"
"10214","1","To Shore"
"10215","1",""
"10216","1","To Shore"
"10217","1","Rigs-to-Reef"
"10218","1",""
"10219","1","To Shore"
"10220","1","Rigs-to-Reef"
"10221","1","To Shore"
"10222","1","To Shore"
"10224","1","Rigs-to-Reef"
"10225","2","To Shore"
"10225","3","To Shore"
"10225","4","To Shore"
"10226","1","Rigs-to-Reef"
"10229","1","Rigs-to-Reef"
"10231","1",""
"10232","1","To Shore"
"10233","1","Rigs-to-Reef"
"10234","1","Rigs-to-Reef"
"10235","1","Rigs-to-Reef"
"10236","1","Rigs-to-Reef"
"10238","1","To Shore"
"10238","2","To Shore"
"10239","1","To Shore"
"10240","1",""
"10241","1",""
"10242","1","Rigs-to-Reef"
"10243","1",""
"10244","1",""
"10245","1","Rigs-to-Reef"
"10246","1",""
"10247","1",""
"10248","1",""
"10250","1","To Shore"
"10250","2","Rigs-to-Reef"
"10251","1","Rigs-to-Reef"
"10252","1","Rigs-to-Reef"
"10253","1","Rigs-to-Reef"
"10254","1","To Shore"
"10255","1",""
"10256","1",""
"10257","1","Rigs-to-Reef"
"10258","1","Rigs-to-Reef"
"10260","1","Rigs-to-Reef"
"10262","1",""
"10263","1","To Shore"
"10264","1","To Shore"
"10266","1","To Shore"
"10268","1","To Shore"
"10269","1",""
"10270","1","Rigs-to-Reef"
"10271","1","Rigs-to-Reef"
"10273","1","Rigs-to-Reef"
"10274","1","To Shore"
"10275","1",""
"10276","1",""
"10277","1","To Shore"
"10278","1",""
"10279","1",""
"10280","1","To Shore"
"10280","2","To Shore"
"10281","1","To Shore"
"10282","1",""
"10283","1",""
"10284","1","Rigs-to-Reef"
