"COMPLEX_ID_NUM","STRUCTURE_NUMBER","REMOVAL_DISPOSITION"
"10015","1","To Shore"
"10016","1",""
"10017","1","Rigs-to-Reef"
"10018","1","To Shore"
"10019","1","Rigs-to-Reef"
"10020","1","Rigs-to-Reef"
"10021","1","Rigs-to-Reef"
"10022","1","To Shore"
"10023","1","To Shore"
"10023","2","To Shore"
"10024","1","To Shore"
"10025","1",""
"10026","1","To Shore"
"10027","1",""
"10028","1","To Shore"
"10029","1","To Shore"
"10030","1",""
"10031","1","To Shore"
"10032","1","Rigs-to-Reef"
"10033","1","To Shore"
"10034","1","Rigs-to-Reef"
"10035","1","Rigs-to-Reef"
"10035","2","Rigs-to-Reef"
"10036","1","Rigs-to-Reef"
"10036","2","Rigs-to-Reef"
"10037","1",""
"10037","2",""
"10038","1","To Shore"
"10039","1","To Shore"
"20590","1","Rigs-to-Reef"
"20591","1","Rigs-to-Reef"
"20593","1","To Shore"
"20593","2",""
"20594","1","To Shore"
"20594","2","To Shore"
"20594","3","To Shore"
"20595","1",""
"20595","2",""
"20596","1",""
"20597","1","To Shore"
"20597","2","To Shore"
"20598","1","To Shore"
"20600","1","To Shore"
"20601","1","To Shore"
"20601","2","To Shore"
"20605","1","To Shore"
"20606","1","To Shore"
"20608","2","Rigs-to-Reef"
"20610","1","Rigs-to-Reef"
"20610","2","Rigs-to-Reef"
"20612","1","To Shore"
"20614","1","Rigs-to-Reef"
"20614","2","Rigs-to-Reef"
"20615","1","To Shore"
"20616","1","To Shore"
"20616","2","To Shore"
"20617","1","To Shore"
"20617","2","To Shore"
"20618","1","To Shore"
"20621","1","Rigs-to-Reef"
"20621","2",""
"20623","1","Rigs-to-Reef"
"20624","1",""
"20624","2",""
"20625","1","To Shore"
"20625","2","To Shore"
"20625","4","To Shore"
"20627","1",""
"20627","2",""
"20628","1","To Shore"
"20629","1","To Shore"
"20629","2","To Shore"
"20629","3","To Shore"
"20631","1","To Shore"
"20631","2","To Shore"
"20631","3","To Shore"
"20631","4","To Shore"
"20633","1","Rigs-to-Reef"
"20633","2","Rigs-to-Reef"
"20633","3","Rigs-to-Reef"
"20633","4","Rigs-to-Reef"
"20634","1","Rigs-to-Reef"
"20634","2","Rigs-to-Reef"
"20635","1","To Shore"
"20635","2","To Shore"
"20636","1","To Shore"
"20637","1","To Shore"
"20637","2","To Shore"
"20639","1","To Shore"
"20639","2","To Shore"
"20639","3","To Shore"
"20639","4","To Shore"
"20639","5","To Shore"
"20639","6","To Shore"
"20640","1","To Shore"
"20640","2","To Shore"
"20641","1",""
"20641","2",""
"20642","1","To Shore"
"20642","2","To Shore"
"20642","3","To Shore"
"20643","1",""
"20643","2",""
"20644","1",""
"20645","1",""
"20645","2",""
"20646","1","Rigs-to-Reef"
"20646","2","To Shore"
"20647","1","To Shore"
"20647","2","To Shore"
"20648","1","Rigs-to-Reef"
"20649","1",""
"20650","1",""
"20650","2",""
"20650","3",""
"20651","1",""
"20653","1",""
"20654","1","Rigs-to-Reef"
"20655","1","Rigs-to-Reef"
"20656","1",""
"20657","1","To Shore"
"20658","1","To Shore"
"20658","2","To Shore"
"20658","3","To Shore"
"20659","1",""
"20660","1","To Shore"
"20661","1",""
"20663","1",""
"20665","1",""
"20667","1","To Shore"
"20667","2","To Shore"
"20668","1",""
"20669","1","To Shore"
"20670","1","Rigs-to-Reef"
"20670","2","Rigs-to-Reef"
"20670","3","Rigs-to-Reef"
"20671","1",""
"20675","1",""
"20676","1","To Shore"
"20677","1","Rigs-to-Reef"
"20677","2","Rigs-to-Reef"
"20678","1","To Shore"
"20678","2","To Shore"
"20683","1","Rigs-to-Reef"
"20683","2","Rigs-to-Reef"
"20685","1","To Shore"
"20688","1","To Shore"
"20689","1","To Shore"
"20690","1","To Shore"
"20691","1","To Shore"
"20694","1",""
"20697","1","To Shore"
"20698","1",""
"20699","1","To Shore"
"20701","3",""
"20702","1",""
"20703","1","Rigs-to-Reef"
"20704","1","To Shore"
"20705","1","To Shore"
"20705","2","To Shore"
"20705","3","To Shore"
"20707","1",""
"20708","1","Rigs-to-Reef"
"20709","1","To Shore"
"20710","1",""
"20711","1",""
"20712","1","To Shore"
"20715","1","To Shore"
"20716","1","To Shore"
"20718","1","To Shore"
"20719","3","To Shore"
"20720","1","To Shore"
"20722","2","Rigs-to-Reef"
"20723","1","Rigs-to-Reef"
"20723","2","Rigs-to-Reef"
"20725","1","To Shore"
"20725","2","To Shore"
"20725","3","To Shore"
"20726","1","To Shore"
"20728","1","To Shore"
"20730","1","To Shore"
"20730","2",""
"20731","1",""
"20731","2",""
"20732","1","To Shore"
"20732","2","To Shore"
"20732","3","To Shore"
"20733","1","To Shore"
"20735","1","To Shore"
"20735","2","To Shore"
"20736","1",""
"20736","2",""
"20737","1","To Shore"
"20737","2","To Shore"
"20737","3","Rigs-to-Reef"
"20738","1","Rigs-to-Reef"
"20738","2","Rigs-to-Reef"
"20739","2","Rigs-to-Reef"
"20743","1","To Shore"
"20745","2",""
"20746","1",""
"20747","1",""
"20748","1","To Shore"
"20749","1",""
"20750","1","To Shore"
"20751","1","To Shore"
"20752","1","To Shore"
"20753","1","To Shore"
"20754","1","To Shore"
"20755","1",""
"20756","1","To Shore"
"20757","1","To Shore"
"20758","1","To Shore"
"20759","1",""
"20760","1",""
"20761","1",""
"20762","1",""
"20763","1",""
"20764","1","To Shore"
"20765","1","To Shore"
"20766","1","To Shore"
"20767","1",""
"20768","1",""
"20769","1",""
"20770","1","To Shore"
"20771","1",""
"20772","1","To Shore"
"20773","1",""
"20774","1","To Shore"
"20775","1",""
"20776","1",""
"20777","1","To Shore"
"20778","1",""
"20779","1","To Shore"
"20780","1",""
"20781","1",""
"20782","1",""
"20783","1","To Shore"
"20784","1",""
"20785","1","To Shore"
"20786","1",""
"20787","1","To Shore"
"20788","1","To Shore"
"20790","1","To Shore"
"20791","1",""
