"estrutura","num","complexo","operador","tipo","estrutura_maior","contrato","contrato_status","contrato_ativo","instalada","removida","vida_anos","lamina_m","lat","lon"
"B","1","1613","Century Exploration New Orleans, LLC","FIXED","N","G04910","TERMIN","N","2005-01-21","2013-04-04","8.2","40","29.59953959","-88.72352247"
"A","1","124","Century Exploration New Orleans, LLC","FIXED","Y","G15110","TERMIN","N","1998-01-28","2014-09-30","16.7","184","28.33690894","-93.3459876"
"B","1","479","Century Exploration New Orleans, LLC","CAIS","Y","G16502","TERMIN","N","1999-06-22","2015-06-29","16","30","29.43138997","-89.12387316"
"1","1","777","Century Exploration New Orleans, LLC","CAIS","N","G21054","EXPIR","N","2000-08-22","2008-01-17","7.4","63","28.89170296","-93.24899495"
"B","1","956","Century Exploration New Orleans, LLC","FIXED","N","G32105","EXPIR","N","2001-07-18","2014-09-12","13.2","42","29.55757511","-93.16150423"
"CAIS.#1","1","1039","Century Exploration New Orleans, LLC","CAIS","N","G22544","RELINQ","N","2002-03-15","2008-03-28","6","72","28.88221448","-93.33294544"
"2","1","1742","Century Exploration New Orleans, LLC","CAIS","N","G22544","RELINQ","N","2005-07-27","2014-01-20","8.5","73","28.90528845","-93.36516627"
"7","1","1963","Century Exploration New Orleans, LLC","CAIS","N","G05315","TERMIN","N","2007-02-14","2013-12-31","6.9","75","28.91774052","-93.32231928"
"A","1","2154","Century Exploration New Orleans, LLC","CAIS","N","G31304","TERMIN","N","2009-02-04","2016-06-06","7.3","75","28.9292353","-93.26467282"
"SONAT","1","31023","Southern Natural Gas Company, L.L.C.","FIXED","N","","","","1972-03-20","2005-08-23","33.4","232","29.270709","-88.564073"
"B-VALVE","1","31024","Southern Natural Gas Company, L.L.C.","FIXED","N","","","","1972-03-20","2006-06-01","34.2","222","29.269731","-88.716797"
"A","1","1894","Knight Resources, LLC","FIXED","N","G26198","EXPIR","N","2006-07-26","2009-06-27","2.9","124","29.58426613","-87.8959041"
"A","1","1889","Knight Resources, LLC","FIXED","Y","G26189","TERMIN","N","2006-07-23","2009-07-01","2.9","106","29.92608976","-88.05528709"
"G","1","20172","Cochon Properties, LLC","FIXED","Y","00138","TERMIN","N","1959-01-01","2015-12-07","56.9","58","29.110347","-89.64092"
"A","1","20173","Cochon Properties, LLC","FIXED","Y","00138","TERMIN","N","1955-01-01","2016-10-10","61.8","58","29.10861","-89.643752"
"D","1","20176","Cochon Properties, LLC","FIXED","Y","00137","TERMIN","N","1957-01-01","2015-11-30","58.9","54","29.10535041","-89.6521991"
"B","1","21737","Cochon Properties, LLC","FIXED","Y","00138","TERMIN","N","1955-01-01","2015-11-16","60.9","54","29.106896","-89.61737"
"CQ","3","21814","Cochon Properties, LLC","FIXED","N","00138","TERMIN","N","1962-01-01","2016-01-05","54","53","29.10704","-89.631268"
"C","2","21814","Cochon Properties, LLC","FIXED","Y","00138","TERMIN","N","1956-01-01","2016-01-03","60","53","29.10704354","-89.63155298"
"H","1","21814","Cochon Properties, LLC","FIXED","Y","00138","TERMIN","N","1970-01-01","2016-10-14","46.8","53","29.105631","-89.631614"
"B","1","20922","Cochon Properties, LLC","FIXED","Y","","","","1958-01-01","2020-10-01","62.7","25","29.297696","-92.372219"
"B-AUX","2","20922","Cochon Properties, LLC","FIXED","Y","","","","1972-01-01","2020-10-01","48.8","25","29.297858","-92.37222"
"B-VALVE","3","20922","Cochon Properties, LLC","FIXED","N","","","","1959-07-16","","","25","29.29762111","-92.37263917"
"1","1","20923","Cochon Properties, LLC","WP","N","00560","TERMIN","N","1960-01-01","2014-08-09","54.6","26","29.301246","-92.376393"
"5","2","20923","Cochon Properties, LLC","CAIS","N","00560","TERMIN","N","1974-01-01","2014-12-04","40.9","26","29.300586","-92.376387"
"A","1","20925","Cochon Properties, LLC","FIXED","Y","00560","TERMIN","N","1957-01-01","2020-09-11","63.7","26","29.30885815","-92.38911372"
"B","1","21774","Fieldwood Energy LLC","FIXED","Y","G02163","RELINQ","N","1974-01-01","2019-08-13","45.6","210","28.525794","-90.09792"
"C","1","21898","Fieldwood Energy LLC","FIXED","Y","G02628","TERMIN","N","1975-01-01","2018-07-26","43.6","210","28.548886","-90.068677"
"A","1","22408","Fieldwood Energy LLC","FIXED","Y","G03414","TERMIN","N","1980-01-01","2019-09-09","39.7","35","29.161505","-89.752305"
"2","2","22408","Fieldwood Energy LLC","FIXED","N","G03414","TERMIN","N","1979-01-01","2019-09-10","40.7","35","29.161709","-89.75232"
"1","1","22464","Fieldwood Energy LLC","FIXED","N","G03414","TERMIN","N","1980-01-01","2019-09-03","39.7","35","29.161834","-89.774178"
"A","1","23063","Fieldwood Energy LLC","FIXED","Y","G04002","RELINQ","N","1982-03-22","2019-09-03","37.5","86","29.031436","-89.92407"
"A","1","23136","Fieldwood Energy LLC","FIXED","Y","G04003","TERMIN","N","1985-01-01","2018-07-20","33.5","225","28.575144","-90.072429"
"3","1","23447","Fieldwood Energy LLC","WP","N","G03414","TERMIN","N","1987-01-01","2019-09-07","32.7","35","29.163374","-89.765873"
"A","1","23871","Fieldwood Energy LLC","FIXED","N","G07877","TERMIN","N","1991-01-01","2018-10-14","27.8","102","29.92586","-88.478395"
"A-QRT","2","23886","Fieldwood Energy LLC","FIXED","Y","G05058","TERMIN","N","1991-01-01","2018-07-13","27.5","55","30.175634","-88.242338"
"Q-PRD","1","23886","Fieldwood Energy LLC","FIXED","Y","G05058","TERMIN","N","1991-01-01","2018-07-13","27.5","55","30.175634","-88.242338"
"JF","1","20752","Fieldwood Energy LLC","WP","N","00423","TERMIN","N","1967-01-01","2013-12-01","46.9","65","28.734628","-91.361791"
"12","1","20818","Fieldwood Energy LLC","CAIS","N","00049","TERMIN","N","1964-01-01","2013-09-09","49.7","37","28.98599334","-91.48231089"
"7","1","20829","Fieldwood Energy LLC","CAIS","N","00050","TERMIN","N","1969-01-01","2014-05-20","45.4","36","28.9893673","-91.46992477"
"3","1","21358","Fieldwood Energy LLC","WP","N","00797","TERMIN","N","1961-01-01","2014-10-15","53.8","24","29.043794","-91.455726"
"A-QTR","1","21409","Fieldwood Energy LLC","FIXED","Y","00797","TERMIN","N","1961-01-01","2014-10-31","53.8","24","29.040606","-91.451125"
"A-PRD","2","21409","Fieldwood Energy LLC","FIXED","Y","00797","TERMIN","N","1961-01-01","2014-10-28","53.8","24","29.040881","-91.451126"
"A-AUX","3","21409","Fieldwood Energy LLC","FIXED","N","00797","TERMIN","N","1987-01-01","2014-10-23","27.8","24","29.040881","-91.451126"
"A","1","21581","Fieldwood Energy LLC","FIXED","Y","G02317","TERMIN","N","1973-01-01","2009-07-26","36.6","231","28.256714","-91.808142"
"D","1","22271","Fieldwood Energy LLC","FIXED","Y","00797","TERMIN","N","1979-01-01","2014-11-08","35.9","25","29.034007","-91.450561"
"D-9","2","22271","Fieldwood Energy LLC","CAIS","N","00797","TERMIN","N","1984-01-01","2014-11-10","30.9","25","29.033704","-91.450508"
"C","1","22498","Fieldwood Energy Offshore LLC","FIXED","Y","00146","TERMIN","N","1980-01-01","2013-07-21","33.6","50","29.004107","-89.523185"
"B","1","22507","Fieldwood Energy Offshore LLC","FIXED","Y","G03419","TERMIN","N","1988-01-01","2018-07-05","30.5","60","29.45516883","-88.848975"
"A","1","22750","Fieldwood Energy Offshore LLC","FIXED","N","G03419","TERMIN","N","1982-01-01","2017-06-30","35.5","58","29.457358","-88.830353"
"8","2","22750","Fieldwood Energy Offshore LLC","CAIS","N","G03419","TERMIN","N","2004-06-09","2017-06-29","13.1","58","29.45734644","-88.83044438"
"E","1","23137","Fieldwood Energy Offshore LLC","WP","N","G01449","RELINQ","N","1984-03-01","2018-07-30","34.4","90","28.97758","-89.520537"
"2","1","23834","Fieldwood Energy Offshore LLC","CAIS","N","G03593","TERMIN","N","1990-01-01","2008-10-04","18.8","116","28.491517","-90.696978"
"A","1","23842","Fieldwood Energy Offshore LLC","FIXED","N","G09707","RELINQ","N","1990-01-01","2019-08-10","29.6","65","29.511452","-88.699141"
"2","1","23843","Fieldwood Energy Offshore LLC","CAIS","N","G09707","RELINQ","N","1990-01-01","2019-08-12","29.6","65","29.505697","-88.719859"
"D","1","20074","Fieldwood Energy Offshore LLC","FIXED","Y","G01031","TERMIN","N","1970-01-01","2022-07-11","52.5","187","28.37117636","-91.0637745"
"A","1","21515","Fieldwood Energy Offshore LLC","FIXED","Y","","","","1957-01-01","2021-07-12","64.5","25","29.174142","-91.533511"
"B","2","21515","Fieldwood Energy Offshore LLC","FIXED","Y","","","","1983-01-01","2021-07-08","38.5","25","29.174357","-91.532982"
"C-QTR","3","21515","Fieldwood Energy Offshore LLC","FIXED","N","","","","1983-01-01","2021-07-06","38.5","25","29.174402","-91.53261"
"E","2","21664","Fieldwood Energy Offshore LLC","FIXED","Y","G01027","TERMIN","N","1978-01-01","2022-09-23","44.7","166","28.41197292","-91.27512038"
"A","1","21664","Fieldwood Energy Offshore LLC","FIXED","Y","G01027","TERMIN","N","1973-01-01","2024-08-28","51.7","166","28.411563","-91.275435"
"D","1","21903","Fieldwood Energy Offshore LLC","FIXED","Y","G01029","TERMIN","N","1975-01-01","2024-08-14","49.6","180","28.401103","-91.287269"
"F","1","22111","Fieldwood Energy Offshore LLC","FIXED","Y","G01028","TERMIN","N","1978-01-01","2024-07-06","46.5","180","28.41633129","-91.31231731"
"A","1","22138","Fieldwood Energy Offshore LLC","FIXED","Y","00818","TERMIN","N","1978-01-01","2012-11-20","34.9","53","28.64985078","-90.91747066"
"5","1","22454","Fieldwood Energy Offshore LLC","WP","N","00466","RELINQ","N","1981-01-01","2019-05-02","38.3","23","29.168199","-91.502664"
"6","1","22590","Fieldwood Energy Offshore LLC","WP","N","00466","RELINQ","N","1983-01-01","2019-05-05","36.3","25","29.159839","-91.50041"
"3","1","22736","Fieldwood Energy Offshore LLC","WP","N","00424","RELINQ","N","1983-01-01","2017-06-06","34.4","25","29.18327","-91.517589"
"8","1","22862","Fieldwood Energy Offshore LLC","WP","N","00466","RELINQ","N","1983-01-01","2019-05-04","36.3","22","29.163015","-91.504404"
"9","1","22863","Fieldwood Energy Offshore LLC","WP","N","00466","RELINQ","N","1983-01-01","2019-05-01","36.3","22","29.17211373","-91.50339763"
"4","1","22949","Fieldwood Energy Offshore LLC","WP","N","00424","RELINQ","N","1983-01-01","2017-06-04","34.4","25","29.178709","-91.510782"
"10","1","22955","Fieldwood Energy Offshore LLC","FIXED","N","00466","RELINQ","N","1984-01-01","2019-05-07","35.3","22","29.157984","-91.505676"
"D","1","23008","Fieldwood Energy Offshore LLC","FIXED","N","G05549","TERMIN","N","1987-01-01","2012-11-22","25.9","54","28.661884","-90.877079"
"J","1","23919","Fieldwood Energy Offshore LLC","FIXED","Y","G00997","TERMIN","N","1990-01-01","2014-07-12","24.5","224","28.29881807","-91.74308953"
"A","1","21901","Fieldwood Energy Offshore LLC","FIXED","Y","G02870","TERMIN","N","1975-01-01","2018-05-12","43.4","44","29.340142","-92.563873"
"B","1","22019","Fieldwood Energy Offshore LLC","FIXED","Y","G01172","TERMIN","N","1977-01-01","2023-08-21","46.6","202","28.309123","-92.217485"
"A","1","22981","Fieldwood Energy Offshore LLC","FIXED","Y","","","","1984-01-01","2022-08-29","38.7","215","28.293267","-92.293423"
"A-AUX","2","22981","Fieldwood Energy Offshore LLC","FIXED","Y","","","","1984-01-01","2022-08-23","38.6","215","28.29305192","-92.29384931"
"A","1","10050","Fieldwood Energy Offshore LLC","FIXED","Y","","","","1972-01-01","2022-06-15","50.5","61","29.000298","-94.764615"
"A","1","10063","Fieldwood Energy Offshore LLC","FIXED","Y","G02735","TERMIN","N","1976-01-01","2018-07-13","42.5","210","28.242024","-93.557173"
"A","1","23635","Fieldwood Energy Offshore LLC","FIXED","N","G04818","TERMIN","N","1989-01-01","2021-10-04","32.8","45","29.329587","-93.596007"
"B","1","10571","Fieldwood Energy Offshore LLC","FIXED","Y","G01772","TERMIN","N","1992-01-01","2016-09-04","24.7","63","29.013863","-94.751542"
"F","1","26072","Fieldwood Energy Offshore LLC","FIXED","Y","G01031","TERMIN","N","1994-07-11","2022-10-07","28.2","187","28.39151377","-91.09053279"
"G","1","26085","Fieldwood Energy Offshore LLC","FIXED","Y","G01029","TERMIN","N","1994-10-06","2023-09-08","28.9","188","28.38800593","-91.29074098"
"BQ","2","24190","Fieldwood Energy Offshore LLC","FIXED","N","G05064","TERMIN","N","1995-01-01","2011-10-13","16.8","58","30.149598","-88.286167"
"B","3","24190","Fieldwood Energy Offshore LLC","FIXED","N","G05064","TERMIN","N","1995-01-01","2012-11-28","17.9","58","30.15003","-88.286957"
"BA","1","24190","Fieldwood Energy Offshore LLC","FIXED","N","G05064","TERMIN","N","1994-10-31","2004-12-02","10.1","58","30.15033671","-88.28763843"
"C","1","27024","Fieldwood Energy Offshore LLC","FIXED","Y","G01172","TERMIN","N","1995-06-14","2022-07-13","27.1","213","28.30512524","-92.23020595"
"A","1","27025","Fieldwood Energy Offshore LLC","FIXED","Y","G10636","TERMIN","N","1995-08-21","2015-10-11","20.1","224","28.21309756","-92.84860402"
"A","1","31011","Fieldwood Energy Offshore LLC","WP","N","G12019","TERMIN","N","1996-09-09","2013-07-16","16.8","154","28.52842903","-90.2944538"
"#13","1","1540","Fieldwood Energy Offshore LLC","WP","N","00818","TERMIN","N","2004-08-25","2012-11-16","8.2","54","28.65543871","-90.92495071"
"A","1","80014","Fieldwood Energy Offshore LLC","FIXED","Y","G16361","TERMIN","N","1997-01-17","2017-06-15","20.4","139","28.52897322","-91.45293389"
"C","1","40","Fieldwood Energy Offshore LLC","CAIS","N","G05549","TERMIN","N","1997-11-10","2012-10-29","15","55","28.64447795","-90.88846874"
"A (Tequila)","1","10242","Fieldwood SD Offshore LLC","FIXED","Y","G02650","TERMIN","N","1984-01-01","2017-11-25","33.9","660","27.85895","-94.883731"
"A","1","10411","TR Offshore, LLC","FIXED","Y","G07298","TERMIN","N","1987-01-01","2007-08-08","20.6","84","28.835566","-94.260334"
"A","1","1286","TR Offshore, LLC","WP","N","G16363","TERMIN","N","2003-06-04","2009-08-22","6.2","190","28.42261629","-91.82911663"
"3","1","21677","Apache Shelf, Inc.","WP","N","G01244","TERMIN","N","1963-01-01","2013-10-14","50.8","62","28.810868","-90.629059"
"CAIS#18","2","21677","Apache Shelf, Inc.","CAIS","N","G01244","TERMIN","N","2001-02-19","2013-06-03","12.3","62","28.81095024","-90.62905854"
"7","1","21678","Apache Shelf, Inc.","WP","N","G01244","TERMIN","N","1964-01-01","2013-10-15","49.8","60","28.821883","-90.606938"
"CAIS.#17","2","21678","Apache Shelf, Inc.","CAIS","N","G01244","TERMIN","N","2000-09-09","2013-06-19","12.8","60","28.82202012","-90.60684998"
"B","1","21679","Apache Shelf, Inc.","FIXED","Y","G01244","TERMIN","N","1969-01-01","2014-07-15","45.5","60","28.80818431","-90.60811717"
"JA","1","22049","Apache Shelf, Inc.","WP","N","G03182","TERMIN","N","1979-01-01","2014-06-15","35.5","150","28.735998","-90.051515"
"C","1","21216","Apache Shelf, Inc.","FIXED","N","00811","UNIT","S","1969-01-01","2014-07-17","45.5","175","28.464279","-91.787672"
"4","1","21248","Apache Shelf, Inc.","CAIS","N","G01441","TERMIN","N","1969-01-01","2014-08-01","45.6","8","29.10363232","-91.05247889"
"4-HTR","2","21248","Apache Shelf, Inc.","FIXED","N","G01441","TERMIN","N","1969-01-01","1992-12-31","24","8","29.10363266","-91.05263544"
"7","1","21404","Apache Shelf, Inc.","CAIS","N","G01441","TERMIN","N","1969-01-01","2014-08-02","45.6","10","29.104235","-91.078308"
"A","1","21408","Apache Shelf, Inc.","FIXED","Y","G01441","TERMIN","N","1969-01-01","2014-10-01","45.7","9","29.108594","-91.058101"
"B-HTR","2","21408","Apache Shelf, Inc.","FIXED","Y","G01441","TERMIN","N","1969-01-01","2014-10-02","45.7","9","29.108113","-91.058103"
"C-CMP","3","21408","Apache Shelf, Inc.","FIXED","N","G01441","TERMIN","N","1969-01-01","2014-09-05","45.7","9","29.108595","-91.058336"
"D-QTR","4","21408","Apache Shelf, Inc.","FIXED","N","G01441","TERMIN","N","1973-01-01","2014-08-20","41.6","9","29.10887","-91.058335"
"E","5","21408","Apache Shelf, Inc.","FIXED","N","G01441","TERMIN","N","1977-01-01","2014-09-06","37.7","9","29.108113","-91.058234"
"G","1","21845","Apache Shelf, Inc.","FIXED","Y","G00997","TERMIN","N","1975-01-01","2015-06-21","40.5","227","28.293431","-91.71283"
"H","1","21953","Apache Shelf, Inc.","FIXED","Y","G01888","TERMIN","N","1976-01-01","2014-07-23","38.6","164","28.495065","-91.787835"
"9","1","22071","Apache Shelf, Inc.","CAIS","N","G01441","TERMIN","N","1975-01-01","2014-07-25","39.6","10","29.097016","-91.044983"
"9-HTR","2","22071","Apache Shelf, Inc.","FIXED","N","G01441","TERMIN","N","1975-01-01","1992-12-31","18","10","29.098327","-91.044814"
"11","1","22193","Apache Shelf, Inc.","CAIS","N","G01441","TERMIN","N","1979-01-01","2014-08-03","35.6","10","29.098514","-91.049866"
"10","1","22194","Apache Shelf, Inc.","CAIS","N","G01441","TERMIN","N","1969-01-01","2014-08-02","45.6","10","29.10704","-91.054"
"12","1","22257","Apache Shelf, Inc.","CAIS","N","G01441","TERMIN","N","1979-01-01","2014-07-26","35.6","10","29.098396","-91.047171"
"HTR","2","22257","Apache Shelf, Inc.","FIXED","N","G01441","TERMIN","N","1979-01-01","1992-12-31","14","10","29.098374","-91.047068"
"13","1","22628","Apache Shelf, Inc.","CAIS","N","G01441","TERMIN","N","1982-01-01","2014-08-01","32.6","10","29.097104","-91.047723"
"B","1","22985","Apache Shelf, Inc.","FIXED","Y","G00991","TERMIN","N","1984-01-01","2016-08-27","32.7","193","28.38362","-91.593039"
"A","1","23592","Apache Shelf, Inc.","FIXED","Y","G05517","TERMIN","N","1989-01-01","2015-05-22","26.4","257","28.24433","-91.457308"
"18","1","20554","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1964-01-01","2014-05-24","50.4","25","29.457433","-92.381019"
"B","1","20655","Apache Shelf, Inc.","FIXED","Y","G01208","TERMIN","N","1964-01-01","2012-10-06","48.8","140","28.596424","-91.961514"
"B","1","20910","Apache Shelf, Inc.","FIXED","Y","G01182","TERMIN","N","1969-01-01","2013-04-07","44.3","68","28.961824","-91.983793"
"C","1","20911","Apache Shelf, Inc.","FIXED","Y","G01182","TERMIN","N","1971-01-01","2012-04-19","41.3","70","28.962157","-91.98317"
"D","1","20930","Apache Shelf, Inc.","WP","N","00297","TERMIN","N","1962-01-01","2012-08-07","50.6","25","29.45658384","-92.36119817"
"9 (REMOVED)","2","20931","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1962-01-01","1996-12-31","35","25","29.47146325","-92.35680967"
"53","1","20931","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1996-01-01","2012-07-28","16.6","25","29.471463","-92.35681"
"5","1","20932","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1960-01-01","2012-09-13","52.7","25","29.46029","-92.356413"
"4","1","20933","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1960-01-01","2013-07-09","53.5","25","29.457755","-92.36719"
"1","1","20934","Apache Shelf, Inc.","FIXED","Y","00549","TERMIN","N","1960-01-01","2008-02-23","48.1","30","29.42253419","-92.37375632"
"6","2","20934","Apache Shelf, Inc.","CAIS","N","00549","TERMIN","N","1972-01-01","1995-08-14","23.6","30","29.422457","-92.374145"
"1-AUX","3","20934","Apache Shelf, Inc.","FIXED","N","00549","TERMIN","N","1987-01-01","2012-08-23","25.6","30","29.42250614","-92.37382513"
"16","1","20949","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1964-01-01","2012-07-24","48.6","25","29.460261","-92.375383"
"A","1","21016","Apache Shelf, Inc.","FIXED","Y","00548","TERMIN","N","1960-01-01","2016-06-24","56.5","35","29.445043","-92.37284"
"B","1","21019","Apache Shelf, Inc.","FIXED","Y","00548","TERMIN","N","1962-01-01","2014-08-10","52.6","30","29.451948","-92.37288"
"12","1","21021","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1964-01-01","2013-07-07","49.5","25","29.457527","-92.362914"
"11","1","21022","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1963-01-01","2013-07-22","50.6","27","29.460268","-92.368338"
"E","1","21023","Apache Shelf, Inc.","WP","N","00297","TERMIN","N","1973-01-01","2012-07-25","39.6","26","29.47061947","-92.36307677"
"2","1","21025","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1960-01-01","2012-07-25","52.6","25","29.463984","-92.374507"
"B","1","21030","Apache Shelf, Inc.","FIXED","Y","00297","TERMIN","N","1956-01-01","2014-06-18","58.5","26","29.47153","-92.366581"
"B-AUX1","2","21030","Apache Shelf, Inc.","FIXED","Y","00297","TERMIN","N","1960-01-01","1998-08-29","38.7","26","29.471532","-92.366267"
"B-AUX2","3","21030","Apache Shelf, Inc.","FIXED","Y","00297","TERMIN","N","1960-01-01","2014-06-07","54.4","26","29.471525","-92.367112"
"B","4","21030","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1973-01-01","1996-06-14","23.4","26","29.471818","-92.376999"
"C","1","21035","Apache Shelf, Inc.","FIXED","Y","00297","TERMIN","N","1960-01-01","2014-07-07","54.5","27","29.46667","-92.36863"
"C-AUX1","2","21035","Apache Shelf, Inc.","FIXED","Y","00297","TERMIN","N","1972-01-01","2014-06-25","42.5","27","29.466668","-92.368947"
"C-AUX2","4","21035","Apache Shelf, Inc.","FIXED","Y","00297","TERMIN","N","1982-01-01","2014-06-28","32.5","27","29.466101","-92.368684"
"C-7","3","21035","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1973-01-01","2014-07-10","41.5","27","29.466972","-92.368454"
"3","1","21719","Apache Shelf, Inc.","CAIS","N","00549","TERMIN","N","1962-01-01","2013-07-11","51.5","29","29.41969735","-92.36699866"
"F-AUX","2","21761","Apache Shelf, Inc.","FIXED","Y","00297","TERMIN","N","1975-01-01","2013-07-17","38.5","18","29.49241399","-92.3814974"
"F","1","21761","Apache Shelf, Inc.","FIXED","Y","00297","TERMIN","N","1975-01-01","2013-07-20","38.5","18","29.4924165","-92.3811831"
"A","1","21977","Apache Shelf, Inc.","FIXED","Y","G02592","PROD","S","1976-01-01","2011-09-28","35.7","235","28.222742","-92.123866"
"A","1","22119","Apache Shelf, Inc.","FIXED","Y","G03393","RELINQ","N","1978-01-01","2014-07-01","36.5","65","29.15696337","-92.60624561"
"30","1","22157","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1978-01-01","2015-10-19","37.8","25","29.467275","-92.392796"
"29","1","22158","Apache Shelf, Inc.","FIXED","N","00297","TERMIN","N","1978-01-01","2012-09-18","34.7","25","29.465161","-92.385879"
"27","1","22159","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1978-01-01","2012-09-03","34.7","25","29.463135","-92.391863"
"B","1","22162","Apache Shelf, Inc.","FIXED","Y","G02588","TERMIN","N","1978-01-01","2012-06-16","34.5","223","28.26351","-92.114917"
"G","1","22288","Apache Shelf, Inc.","FIXED","Y","00297","TERMIN","N","1979-01-01","2015-10-16","36.8","28","29.458873","-92.366667"
"34   FL","1","22338","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1980-01-01","2012-09-09","32.7","28","29.45646455","-92.39272263"
"48","2","22338","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1983-01-01","2012-09-09","29.7","28","29.456128","-92.39287"
"31","1","22344","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1980-01-01","2014-02-21","34.1","21","29.458809","-92.391805"
"A","1","22364","Apache Shelf, Inc.","FIXED","Y","G01357","TERMIN","N","1980-01-01","2011-07-26","31.6","26","29.450654","-92.39706"
"I(FMR #37)","1","22394","Apache Shelf, Inc.","FIXED","N","00297","TERMIN","N","1980-01-01","2014-06-06","34.4","25","29.47152354","-92.36386857"
"5","1","22395","Apache Shelf, Inc.","CAIS","N","00548","TERMIN","N","1980-01-01","2012-08-12","32.6","30","29.45177588","-92.39166451"
"36","1","22471","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1981-01-01","2012-08-25","31.6","30","29.45883875","-92.38819143"
"40","1","22500","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1981-01-01","2012-08-04","31.6","21","29.4678553","-92.37838727"
"42","1","22505","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1981-01-01","2015-10-30","34.8","26","29.462309","-92.384143"
"43","1","22525","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1981-01-01","2012-07-30","31.6","30","29.45811449","-92.39274006"
"33","1","22614","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1980-01-01","2012-07-27","32.6","27","29.46984269","-92.37055148"
"7","1","22665","Apache Shelf, Inc.","CAIS","N","00548","TERMIN","N","1982-01-01","2012-07-19","30.5","25","29.452685","-92.383885"
"C","1","22760","Apache Shelf, Inc.","WP","N","00548","TERMIN","N","1983-01-01","2012-07-20","29.5","25","29.452453","-92.371629"
"11 & 12","1","23156","Apache Shelf, Inc.","FIXED","N","00549","TERMIN","N","1985-01-01","2015-08-13","30.6","30","29.415445","-92.374016"
"50","1","23255","Apache Shelf, Inc.","CAIS","N","G01182","TERMIN","N","1986-01-01","2012-07-10","26.5","68","28.965708","-91.999371"
"41","1","23333","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1989-01-01","2012-07-22","23.6","26","29.46154034","-92.38362574"
"32","2","23367","Apache Shelf, Inc.","FIXED","N","00297","TERMIN","N","1980-01-01","2014-06-03","34.4","25","29.4673079","-92.38044943"
"H    FL","1","23367","Apache Shelf, Inc.","WP","N","00297","TERMIN","N","1989-01-01","2014-05-30","25.4","25","29.467393","-92.38045"
"47","1","23616","Apache Shelf, Inc.","CAIS","N","00297","TERMIN","N","1986-01-01","2012-08-09","26.6","22","29.48739058","-92.39366233"
"52","1","24011","Apache Shelf, Inc.","CAIS","N","G01182","TERMIN","N","1991-01-01","2012-08-21","21.6","75","28.975835","-92.005939"
"A","1","10102","Apache Shelf, Inc.","FIXED","Y","G02688","TERMIN","N","1978-01-01","2014-10-02","36.8","187","28.314287","-93.987828"
"A","1","10216","Apache Shelf, Inc.","FIXED","Y","","","","1982-01-01","2018-07-03","36.5","40","29.133386","-94.195792"
"A","1","22023","Apache Shelf, Inc.","FIXED","Y","G02023","TERMIN","N","1976-01-01","2016-09-25","40.7","236","28.14824","-93.360089"
"9","1","22050","Apache Shelf, Inc.","CAIS","N","00081","TERMIN","N","1977-01-01","2009-03-07","32.2","43","29.509109","-93.276413"
"10","1","24065","Apache Shelf, Inc.","CAIS","N","00549","TERMIN","N","1993-01-01","2013-07-12","20.5","25","29.417356","-92.356996"
"52","1","27007","Apache Shelf, Inc.","FIXED","N","00297","TERMIN","N","1995-04-10","2014-05-28","19.1","25","29.45743321","-92.37482223"
"56","1","90006","Apache Shelf, Inc.","FIXED","N","G01182","TERMIN","N","1996-09-01","2012-05-15","15.7","68","28.96749195","-91.9968252"
"2","1","89","Apache Shelf, Inc.","CAIS","N","00479","TERMIN","N","1997-11-20","2013-09-14","15.8","21","29.21606413","-91.60103887"
"D(FMR.CAIS.#16)","1","167","Apache Shelf, Inc.","FIXED","Y","G01998","TERMIN","N","1998-11-29","2013-10-09","14.9","49","29.39534299","-93.20035564"
"A","1","294","Apache Shelf, Inc.","FIXED","Y","G13825","TERMIN","N","1998-12-19","2014-11-25","15.9","31","29.67973423","-93.34054378"
"E","1","397","Apache Shelf, Inc.","CAIS","Y","G01998","TERMIN","N","1999-02-13","2016-06-18","17.3","47","29.4071661","-93.24347471"
