"instalacao","sigla","classe","campo","operador_grupo","operador_concessao","situacao","lamina_m","ano_inicio","idade_calculada","idade_anp","lat","lon","uf"
"PLATAFORMA DE NAMORADO 1","PNA-1","Plataforma Fixa","NAMORADO","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","145","1983","43","8","-22.43865583","-40.42451583",""
"PLATAFORMA DE NAMORADO 2","PNA-2","Plataforma Fixa","NAMORADO","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","170","1984","42","8","-22.45074444","-40.41176444",""
"PLATAFORMA DE PAMPO 1","PPM-1","Plataforma Fixa","PAMPO","TRIDENT","TRIDENT ENERGY DO BRASIL LTDA.","Operando em Extensão de Vida Útil","115","1984","42","38","-22.7980075","-40.76254444",""
"PLATAFORMA DE PARGO 1A","PPG-1A","Plataforma Fixa","PARGO","PERENCO","PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.","Operando em Extensão de Vida Útil","101","1988","38","34","-22.25555306","-40.32994917",""
"PLATAFORMA DE PARGO 1B","PPG-1B","Plataforma Fixa","PARGO","PERENCO","PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.","Operando em Extensão de Vida Útil","101","1988","38","34","-22.25584","-40.33900528",""
"PLATAFORMA DE PESCADA 1A","PPE1A","Plataforma Fixa","PESCADA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","17","1998","28","24","-4.70473361","-36.82568944",""
"PLATAFORMA DE PESCADA 1B","PPE1B","Plataforma Fixa","PESCADA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","17","1998","28","24","-4.70450833","-36.825635",""
"PLATAFORMA DE PESCADA 2","PPE02","Plataforma Fixa","PESCADA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","17","1999","27","23","-4.71841806","-36.83579444",""
"PLATAFORMA DE PESCADA 3","PPE03","Plataforma Fixa","PESCADA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Temporariamente - Hibernação","18.5","2001","25","21","-4.68428333","-36.82508333",""
"PLATAFORMA DE PIRANEMA","FPPRM","Unidade Flutuante","PIRANEMA","TEEKAY","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","1090","2007","19","8","-11.3725","-36.99166667",""
"PLATAFORMA DE REBOMBEIO AUTÔNOMA 1","PRA-1","Plataforma Fixa","RONCADOR","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","106","2008","18","15","-20.17123722","-40.12175222",""
"PLATAFORMA DE ROBALO 1","PRB01","Plataforma Fixa","SALGO","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","14","1986","40","48","-10.65354056","-36.63529806",""
