"instalacao","sigla","classe","campo","operador_grupo","operador_concessao","situacao","lamina_m","ano_inicio","idade_calculada","idade_anp","lat","lon","uf"
"FPSO POLVO","FPSO POLVO","Unidade Flutuante","POLVO","","PETRO RIO O&G EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO LTDA.","","105","2007","19","15","-23.0825475","-41.01030556",""
"FPSO RIO DAS OSTRAS","FPRO","Unidade Flutuante","TARTARUGA VERDE","ALTERA","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","1123","2008","18","11","-22.91271667","-40.68311111",""
"FPSO SEPETIBA","FPSTB","Unidade Flutuante","MERO","SBM","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2000","2023","3","1","-24.63081444","-42.26445806",""
"FSO CIDADE DE MACAÉ","FSME","Unidade Flutuante","RONCADOR","MODEC","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","98","2007","19","0","-22.15751667","-40.14698333",""
"FSO PARGO","FSO PPG","Unidade Flutuante","PARGO","PERENCO","PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.","Operando","93","2023","3","-1","-22.23048056","-40.33276944","RJ"
"GOLD STAR","SS-73","Unidade Semissubmersível","","CONSTELLATION","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Abandono 7-ESP-17-RJS","0","2010","16","13","-22.73236","-40.46419194",""
"HUNTER QUEEN","HTQ","Unidade Semissubmersível","","OCYAN","PETRO RIO JAGUAR PETRÓLEO SA.","","3048","2012","14","11","","",""
"HUNTER QUEEN","HTQ","Unidade Semissubmersível","","OCYAN","PETRO RIO JAGUAR PETRÓLEO SA.","Perfuração 7-FR-68D-RJS","0","2012","14","11","-21.89516417","-39.83010972",""
"KING MAKER","KM","Unidade Semissubmersível","","PRIO","","Descomissionada","110","2017","9","20","-23.11228194","-41.07151083",""
"KINGFISHER","KINGFISHER","Sonda","","PERENCO","PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.","Operando","80","2013","13","9","","",""
"LAGUNA STAR","NS-44","Navio Sonda","","CONSTELLATION","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Abandono 7-RO-92D-RJS","0","2012","14","11","-21.94336444","-39.71428167",""
"LONE STAR","SS-79","Unidade Semissubmersível","","CONSTELLATION","3R PETROLEUM OFFSHORE S.A.","Completação 7-PPT-52H-RJS","0","2010","16","13","-23.52448556","-41.08398417",""
"MÓDULO DE OPERAÇÃO DE PIG 1","MOP-1","Módulo de Operação de PIG - MOP","JUBARTE","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","28","2013","13","10","-20.98500611","-40.40873667","ES"
"MONOBOIA DE PARU","BOIA PARU","Monoboia/Q Boias/Cais-Petróleo","","ORIGEM ENERGIA","ORIGEM ENERGIA ALAGOAS S.A.","Operando","24","1996","30","26","-10.29810639","-36.09261778","AL"
"MONOBOIA DE PRA-1","BOIA-PRA-1","Monoboia/Q Boias/Cais-Petróleo","","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","106","2017","9","15","-20.17123722","-40.12175222",""
"MONOBOIA MN-601 TEDUT","MN-601","Monoboia/Q Boias/Cais-Petróleo","","PETROBRAS","","","21","2015","11","8","-30.01180556","-50.09513889",""
"MONOBOIA MN-701 TEFRAN","MN-701","Monoboia/Q Boias/Cais-Petróleo","","PETROBRAS","","","24","2014","12","8","-26.23208333","-48.41908333",""
"MONOBOIA TNC","TNC SBM II","Monoboia/Q Boias/Cais-Petróleo","","PETROBRAS","","","16","2006","20","17","-18.97783333","-39.70616667",""
"MONOBOIA TNC SBM-III","TNC SBM II","Monoboia/Q Boias/Cais-Petróleo","","PETROBRAS","","","16","2017","9","5","-18.97783333","-39.70616667",""
"NAN HAI BA HAO (NANHAI 8)","SS-92","Sonda","","","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Abandono 1-RJS-414-RJ","0","2025","1","-2","-22.54610778","-40.56898194",""
"NOBLE DEVELOPER","DEV","Unidade Semissubmersível","","MAERSK","","","275","2009","17","14","","",""
"NOBLE FAYE KOZACK","NS-59","Navio Sonda","","NOBLE","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Completação 7-TUP-136D-RJS","0","2023","3","0","-25.15666139","-42.861105",""
"NORBE IX","NS-33","Navio Sonda","","OCYAN","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Perfuração 7-SEP-12-RJS","0","2011","15","11","-25.24705056","-42.53866",""
"NORBE VI","SS-81","Unidade Semissubmersível","","","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Completação 7-JUB-85H-ESS","0","2010","16","12","-21.24545083","-40.03167694",""
"NORBE VIII","NS-32","Navio Sonda","","","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Abandono 7-RO-16D-RJS","0","2011","15","11","-21.94126444","-39.72626278",""
"OCEAN COURAGE","SS-75","Unidade Semissubmersível","","NOBLE","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Restauração 6-BRSA-631DB-ESS","0","2010","16","13","-21.31143139","-40.015495",""
"OCEAN VALOR","SS-77","Unidade Semissubmersível","","BRASDRILL","","","0","2010","16","13","","",""
"ODN I","NS-41","Navio Sonda","","OCYAN","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Perfuração 8-MRL-248H-RJS","0","2012","14","10","-22.40495778","-40.03217556",""
"ODN II","NS-42","Navio Sonda","","","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Perfuração 1-BRSA-1405-APS","0","2012","14","10","5.2862125","-50.10417167",""
"PEREGRINO A","PEREGRINO A","Plataforma Fixa","PEREGRINO","EQUINOR","PRIO TIGRIS S.A","Completação 7-PRG-101HP-RJS","105","2011","15","12","-23.33442194","-41.29847194",""
"PEREGRINO B","PEREGRINO B","Plataforma Fixa","PEREGRINO","EQUINOR","PRIO TIGRIS S.A","Operando","121","2011","15","12","-23.29541667","-41.20739167",""
"PEREGRINO C","WHPC","Plataforma Fixa","PEREGRINO","EQUINOR","PRIO TIGRIS S.A","Completação 7-PRG-100H-RJS","120.6","2021","5","3","-23.39768111","-41.40834083",""
"PEREGRINO C","WHP-C","Plataforma Fixa","","EQUINOR","EQUINOR BRASIL ENERGIA LTDA.","","123","2021","5","3","-23.39812778","-41.29797222",""
"PETROBRAS 07","P-07","Unidade Semissubmersível","BICUDO","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","200","1988","38","20","-22.75947889","-40.68424639",""
"PETROBRAS 09","P-09","Unidade Semissubmersível","CORVINA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","220","1983","43","39","-22.57380333","-40.52761778",""
"PETROBRAS 10","PA10","Sonda","","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","0","1974","52","49","","",""
"PETROBRAS 10000","NS-31","Navio Sonda","","TRANSOCEAN","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","0","2010","16","13","","",""
"PETROBRAS 12","P-12","Unidade Semissubmersível","LINGUADO","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","100","1983","43","39","-22.76030444","-40.81650194",""
"PETROBRAS 15","P-15","Unidade Semissubmersível","PIRAÚNA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","242","1983","43","11","-22.67850556","-40.6043375",""
"PETROBRAS 18","P-18","Unidade Semissubmersível","MARLIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","910","1994","32","29","-22.42675833","-40.02972222",""
"PETROBRAS 19","P-19","Unidade Semissubmersível","MARLIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","770","1997","29","25","-22.39269889","-40.05474722",""
"PETROBRAS 20","P-20","Unidade Semissubmersível","MARLIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","630","1992","34","30","-22.35908528","-40.08908611",""
"PETROBRAS 25","P-25","Unidade Semissubmersível","ALBACORA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","570","1996","30","25","-22.10946389","-39.91692611",""
"PETROBRAS 26","P-26","Unidade Semissubmersível","MARLIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","990","1998","28","26","-22.46868944","-40.02877889",""
"PETROBRAS 31","P-31","Unidade Flutuante","ALBACORA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","325","1998","28","24","-22.13018944","-39.96660056",""
"PETROBRAS 32","P-32","Unidade Flutuante","MARLIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","160","1997","29","25","-22.34877333","-40.24054722",""
"PETROBRAS 33","P-33","Unidade Flutuante","MARLIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","780","1998","28","24","-22.37225611","-40.02537833",""
"PETROBRAS 35","P-35","Unidade Flutuante","MARLIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","842","1999","27","24","-22.437035","-40.06816111",""
"PETROBRAS 37","P-37","Unidade Flutuante","MARLIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","905","2000","26","23","-22.48522944","-40.09588306",""
"PETROBRAS 38","P-38","Unidade Flutuante","MARLIM SUL","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1005","2001","25","24","-22.15751667","-40.14698333",""
"PETROBRAS 40","P-40","Unidade Semissubmersível","MARLIM SUL","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1080","2001","25","22","-22.54742194","-40.06744306",""
"PETROBRAS 43","P-43","Unidade Flutuante","BARRACUDA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","800","2004","22","20","-22.55011","-40.25944889",""
"PETROBRAS 47","P-47","Unidade Flutuante","MARLIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","190","1999","27","17","-22.34318361","-40.1934725",""
"PETROBRAS 48","P-48","Unidade Flutuante","CARATINGA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1032","2005","21","20","-22.66388389","-40.24018889",""
"PETROBRAS 51","P-51","Unidade Semissubmersível","MARLIM SUL","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1260","2009","17","17","-22.63440278","-40.09363722",""
"PETROBRAS 52","P-52","Unidade Semissubmersível","RONCADOR","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1800","2007","19","15","-21.90667528","-39.73585528",""
"PETROBRAS 53","P-53","Unidade Flutuante","MARLIM LESTE","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1068","2008","18","14","-22.42401667","-39.95766667",""
"PETROBRAS 54","P-54","Unidade Flutuante","RONCADOR","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1400","2007","19","16","-21.96911389","-39.82530278",""
"PETROBRAS 55","P-55","Unidade Semissubmersível","RONCADOR","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1795","2014","12","9","-21.99321972","-39.73953889",""
"PETROBRAS 56","P-56","Unidade Semissubmersível","MARLIM SUL","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1645","2011","15","12","-22.62404167","-39.98948333",""
"PETROBRAS 57","P-57","Unidade Flutuante","JUBARTE","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1258","2010","16","13","-21.24001111","-40.04807778","ES"
"PETROBRAS 58","P-58","Unidade Flutuante","JUBARTE","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1399","2014","12","11","-21.21508417","-39.99736472","ES"
"PETROBRAS 62","P-62","Unidade Flutuante","RONCADOR","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1580","2014","12","11","-21.94083333","-39.78611111",""
"PETROBRAS 66","P-66","Unidade Flutuante","TUPI","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2150","2017","9","5","-25.60281861","-42.8206575",""
"PETROBRAS 67","P-67","Unidade Flutuante","TUPI","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2130","2018","8","7","-25.32987139","-42.6926575",""
"PETROBRAS 68","P-68","Unidade Flutuante","BERBIGÃO","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2280","2018","8","4","-25.02295278","-42.66778889",""
"PETROBRAS 69","P-69","Unidade Flutuante","TUPI","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2170","2018","8","4","-25.65792889","-42.85944306",""
"PETROBRAS 70","P-70","Unidade Flutuante","ATAPU","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2288","2020","6","3","-24.95207056","-42.46838",""
"PETROBRAS 71","P-71","Unidade Flutuante","ITAPU","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2010","2023","3","0","-24.777175","-42.72058333",""
"PETROBRAS 74","P-74","Unidade Flutuante","BÚZIOS","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1950","2018","8","5","-24.64806556","-42.51781444",""
"PETROBRAS 75","P-75","Unidade Flutuante","BÚZIOS","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2015","2018","8","4","-24.78901472","-42.50973611",""
"PETROBRAS 76","P-76","Unidade Flutuante","BÚZIOS","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2025","2018","8","4","-24.68898056","-42.50583056",""
"PETROBRAS 77","P-77","Unidade Flutuante","BÚZIOS","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1980","2019","7","4","-24.63649611","-42.41198972",""
"PETROBRAS 78","P-78","Unidade Flutuante","BÚZIOS","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","2030","2025","1","-3","-24.68023944","-42.38285028",""
"PETROBRAS 79","P-79","Unidade Flutuante","BÚZIOS","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","1770","2026","0","-4","-24.54361417","-42.46951444",""
"PETROBRAS 80","P-80","Unidade Flutuante","BÚZIOS","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Construção","2100","2026","0","-4","-24.72535806","-42.39225222",""
"PETROBRAS 82","P-82","Unidade Flutuante","BÚZIOS","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Construção","1880","2027","-1","-4","-24.57769167","-42.50171694",""
"PETROBRAS 83","P-83","Unidade Flutuante","BÚZIOS","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Construção","2045","2027","-1","-5","-24.76068639","-42.409925",""
"PETROBRAS III","P-3","Sonda","","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Descomissionada","0","1969","57","54","","",""
"PETROBRAS-81","P-81","Unidade Flutuante","AGULHINHA","SBM","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Construção","2510","2031","-5","-7","-11.08748611","-36.15548611",""
"PETROBRAS-84","P-84","Unidade Flutuante","ATAPU","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Construção","2300","2029","-3","-7","-24.96877528","-42.40543444",""
"PETROBRAS-85","P-85","Unidade Flutuante","SÉPIA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Construção","2167","2030","-4","-7","-25.19074333","-42.52641194",""
"PETROBRAS-87","P-87","Unidade Flutuante","BUDIÃO","SBM","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Construção","2500","2030","-4","-6","-11.23998889","-36.44714444",""
"PETROJARL 1","PJ-1","Unidade Flutuante","ATLANTA","ENAUTA","BRAVA ENERGIA S.A.","","1537","2018","8","5","-24.12492222","-41.88520278","RJ"
"PIER PRINCIPAL","PP","Monoboia/Q Boias/Cais-Petróleo","","PETROBRAS","PETROBRAS TRANSPORTES S.A. - TRANSPETRO","","12.8","1961","65","61","-22.82666667","-43.15133333",""
"PLATAFORMA 08","P-08","Unidade Semissubmersível","MARIMBÁ","TRIDENT","TRIDENT ENERGY DO BRASIL LTDA.","Operando em Extensão de Vida Útil","423","1993","33","16","-22.67308694","-40.54650556",""
"PLATAFORMA 3R-1","3R-1","Plataforma Fixa","PEROÁ","3R PETROLEUM","3R PETROLEUM OFFSHORE S.A.","","67","2006","20","8","-19.56278333","-39.25528333",""
"PLATAFORMA 3R-10","3R-10","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","13","1980","46","8","-4.93453944","-36.36202361",""
"PLATAFORMA 3R-11","3R-11","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","13","1981","45","8","-4.94526167","-36.36936111",""
"PLATAFORMA 3R-12","3R-12","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","16","1981","45","8","-4.94201333","-36.35439611",""
"PLATAFORMA 3R-13","3R-13","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","13","1982","44","8","-4.92429722","-36.35080611",""
"PLATAFORMA 3R-14","3R-14","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","15","1982","44","8","-4.92024056","-36.324855",""
"PLATAFORMA 3R-15","3R-15","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","13","1984","42","38","-4.94931417","-36.36151944",""
"PLATAFORMA 3R-16","3R-16","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","13","1984","42","8","-4.94174333","-36.3543775",""
"PLATAFORMA 3R-17","3R-17","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","13","1985","41","8","-4.92399694","-36.35073417",""
"PLATAFORMA 3R-18","3R-18","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","16","1985","41","8","-4.91996333","-36.32489472",""
"PLATAFORMA 3R-19","3R-19","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","14","1991","35","31","-4.92977639","-36.40483056",""
"PLATAFORMA 3R-2","3R-2","Unidade Flutuante","PAPA-TERRA","OOG TK","3R PETROLEUM OFFSHORE S.A.","","1185","2014","12","9","-23.51603889","-41.0612925",""
"PLATAFORMA 3R-20","3R-20","Plataforma Fixa","OESTE DE UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","17","2005","21","17","-4.89335194","-36.45142333",""
"PLATAFORMA 3R-21","3R-21","Plataforma Fixa","OESTE DE UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","16","2005","21","17","-4.88864556","-36.43190417",""
"PLATAFORMA 3R-22","3R-22","Plataforma Fixa","CIOBA","3R PETROLEUM","3R POTIGUAR S.A.","","6.4","2005","21","17","-4.96498556","-36.42226778",""
"PLATAFORMA 3R-3","3R-3","Unidade Flutuante","PAPA-TERRA","OOG TK","3R PETROLEUM OFFSHORE S.A.","","1165","2013","13","10","-23.51396333","-41.06461833",""
"PLATAFORMA 3R-4","3R-4","Plataforma Fixa","MACAU","3R PETROLEUM","3R POTIGUAR S.A.","Em Descomissionamento","8","1982","44","22","-5.03377889","-36.57108889",""
"PLATAFORMA 3R-5","3R-5","Plataforma Fixa","MACAU","3R PETROLEUM","3R POTIGUAR S.A.","Em Descomissionamento","8","1984","42","20","-5.0570275","-36.37297889",""
"PLATAFORMA 3R-6","3R-6","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","15.2","1975","51","47","-4.91708972","-36.33809639",""
"PLATAFORMA 3R-7","3R-7","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","16","1978","48","8","-4.93112444","-36.33869111",""
"PLATAFORMA 3R-8","3R-8","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","13","1977","49","8","-4.92426694","-36.37384889",""
"PLATAFORMA 3R-9","3R-9","Plataforma Fixa","UBARANA","3R PETROLEUM","3R POTIGUAR S.A.","","14","1979","47","43","-4.91014417","-36.41055",""
"PLATAFORMA 65","P-65","Unidade Semissubmersível","ENCHOVA","TRIDENT","TRIDENT ENERGY DO BRASIL LTDA.","Operando em Extensão de Vida Útil","120","1966","60","21","-22.70183667","-40.67710639",""
"PLATAFORMA BIQUARA 1","PBIQ-1","Plataforma Fixa","BIQUARA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","19","2008","18","17","-4.8569975","-36.56053361",""
"PLATAFORMA DE AGULHA 1","PAG01","Plataforma Fixa","AGULHA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","15","1979","47","44","-4.90714333","-36.25952528",""
"PLATAFORMA DE AGULHA 2","PAG02","Plataforma Fixa","AGULHA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","16","1980","46","44","-4.87628472","-36.26882194",""
"PLATAFORMA DE AGULHA 3","PAG03","Plataforma Fixa","AGULHA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","14","1988","38","37","-4.91626944","-36.2561575",""
"PLATAFORMA DE ARABAIANA 1","PARB1","Plataforma Fixa","ARABAIANA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Operando","30","2001","25","21","-4.69477028","-36.72455639",""
"PLATAFORMA DE ARABAIANA 3","PARB3","Plataforma Fixa","ARABAIANA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Temporariamente - Hibernação","25","2001","25","21","-4.69925194","-36.75058722",""
"PLATAFORMA DE ATUM 1","PAT01","Plataforma Fixa","ATUM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","44","1983","43","39","-2.97807472","-38.95818778",""
"PLATAFORMA DE ATUM 2","PAT02","Plataforma Fixa","ATUM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","43","1983","43","39","-2.96173944","-38.97591389",""
"PLATAFORMA DE ATUM 3","PAT03","Plataforma Fixa","ATUM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","42","1989","37","33","-2.96847306","-38.97391306",""
"PLATAFORMA DE CAIOBA 1","PCB01","Plataforma Fixa","CAIOBA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","28","1974","52","51","-11.00815278","-36.93288611",""
"PLATAFORMA DE CAIOBA 2","PCB02","Plataforma Fixa","CAIOBA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","28","1975","51","48","-11.00047778","-36.92485278",""
"PLATAFORMA DE CAIOBA 3","PCB03","Plataforma Fixa","CAIOBA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","29","1979","47","44","-10.99590556","-36.92382222",""
"PLATAFORMA DE CAIOBA 4","PCB04","Plataforma Fixa","CAIOBA","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Em Descomissionamento","26","1984","42","39","-11.00716389","-36.92591389",""
"PLATAFORMA DE CAMORIM 1","PCM01","Plataforma Fixa","CAMORIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","13","1976","50","48","-10.99395278","-36.99359167",""
"PLATAFORMA DE CAMORIM 10","PCM10","Plataforma Fixa","CAMORIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","20.7","1989","37","33","-10.97815278","-36.954225",""
"PLATAFORMA DE CAMORIM 11","PCM11","Plataforma Fixa","CAMORIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Temporariamente - Hibernação","23","1989","37","33","-10.99021944","-36.95586944",""
"PLATAFORMA DE CAMORIM 2","PCM02","Plataforma Fixa","CAMORIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","14.9","1977","49","48","-10.98453056","-36.98221111",""
"PLATAFORMA DE CAMORIM 3","PCM03","Plataforma Fixa","CAMORIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","14","1978","48","47","-10.96785","-36.977375",""
"PLATAFORMA DE CAMORIM 4","PCM04","Plataforma Fixa","CAMORIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","17.5","1978","48","47","-10.98550833","-36.96479722",""
"PLATAFORMA DE CAMORIM 5","PCM05","Plataforma Fixa","CAMORIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","20","1978","48","45","-10.99950556","-36.97213889",""
"PLATAFORMA DE CAMORIM 6","PCM06","Plataforma Fixa","CAMORIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","25.5","1985","41","38","-10.98334167","-36.93286667",""
"PLATAFORMA DE CAMORIM 7","PCM07","Plataforma Fixa","CAMORIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","19.1","1985","41","37","-11.01398333","-36.988425",""
"PLATAFORMA DE CAMORIM 8","PCM08","Plataforma Fixa","CAMORIM","PETROBRAS","PETRÓLEO BRASILEIRO S.A. - PETROBRAS","Fora de Operação Permanentemente - Aguarda Descomissionamento","25.5","1986","40","37","-10.988175","-36.93803889",""
